cpd,km,protein,rsq,vmax
S4057,0.03,BM3 Heme 1YQO,0.34,0.12
S4062,0.26,BM3 Heme 1YQO,0.89,0.0
S4068,0.03,BM3 Heme 1YQO,0.52,0.1
S4074,0.24,BM3 Heme 1YQO,0.89,0.57
S4078,0.28,BM3 Heme 1YQO,0.94,0.0
S4082,0.24,BM3 Heme 1YQO,0.95,0.56
S4088,0.01,BM3 Heme 1YQO,0.26,0.06
S4095,0.25,BM3 Heme 1YQO,0.96,0.0
S4100,3.25,BM3 Heme 1YQO,0.53,10.89
S4105,0.25,BM3 Heme 1YQO,0.92,0.22
S4114,0.04,BM3 Heme 1YQO,0.38,0.0
S4128,0.54,BM3 Heme 1YQO,0.24,2.41
S4138,0.02,BM3 Heme 1YQO,0.36,0.0
S4148,0.05,BM3 Heme 1YQO,0.22,0.27
S4149,0.02,BM3 Heme 1YQO,0.44,0.08
S4159,0.23,BM3 Heme 1YQO,0.9,0.0
S4164,0.03,BM3 Heme 1YQO,0.59,0.0
S4169,0.03,BM3 Heme 1YQO,0.14,0.0
S4173,0.22,BM3 Heme 1YQO,0.94,0.0
S4178,0.24,BM3 Heme 1YQO,0.23,1.11
S4184,0.05,BM3 Heme 1YQO,0.28,0.2
S4188,0.03,BM3 Heme 1YQO,0.28,0.0
S4192,0.32,BM3 Heme 1YQO,0.15,2.01
S4197,0.04,BM3 Heme 1YQO,0.33,0.17
S4201,0.22,BM3 Heme 1YQO,0.95,0.0
S4206,0.14,BM3 Heme 1YQO,0.23,0.64
S4210,0.06,BM3 Heme 1YQO,0.34,0.21
S4216,0.39,BM3 Heme 1YQO,0.21,2.03
S4221,0.37,BM3 Heme 1YQO,0.22,1.84
S4227,0.1,BM3 Heme 1YQO,0.21,0.5
S4151,0.04,BM3 Heme 1YQO,0.38,0.14
S4160,0.24,BM3 Heme 1YQO,0.98,0.51
S4165,0.04,BM3 Heme 1YQO,0.24,0.14
S4170,0.06,BM3 Heme 1YQO,0.21,0.3
S4175,0.03,BM3 Heme 1YQO,0.17,0.14
S4179,0.03,BM3 Heme 1YQO,0.4,0.0
S4185,0.32,BM3 Heme 1YQO,0.65,1.02
S4189,0.04,BM3 Heme 1YQO,0.55,0.0
S4194,0.24,BM3 Heme 1YQO,0.94,0.15
S4198,0.01,BM3 Heme 1YQO,0.33,0.04
S4203,0.05,BM3 Heme 1YQO,0.78,0.13
S4207,0.04,BM3 Heme 1YQO,0.51,0.14
S4211,0.05,BM3 Heme 1YQO,0.33,0.19
S4217,0.68,BM3 Heme 1YQO,0.32,2.95
S4222,0.24,BM3 Heme 1YQO,0.9,0.57
S4228,0.02,BM3 Heme 1YQO,0.22,0.08
S4152,0.03,BM3 Heme 1YQO,0.23,0.0
S4161,0.05,BM3 Heme 1YQO,0.26,0.18
S4166,0.08,BM3 Heme 1YQO,0.29,0.29
S4171,0.04,BM3 Heme 1YQO,0.31,0.13
S4176,0.01,BM3 Heme 1YQO,0.36,0.05
S4181,0.05,BM3 Heme 1YQO,0.28,0.2
S4186,0.03,BM3 Heme 1YQO,0.33,0.0
S4190,0.04,BM3 Heme 1YQO,0.2,0.22
S4195,0.04,BM3 Heme 1YQO,0.51,0.13
S4199,0.04,BM3 Heme 1YQO,0.39,0.12
S4204,0.01,BM3 Heme 1YQO,0.29,0.06
S4208,0.05,BM3 Heme 1YQO,0.27,0.23
S4213,0.02,BM3 Heme 1YQO,0.66,0.05
S4219,0.04,BM3 Heme 1YQO,0.24,0.21
S4223,0.12,BM3 Heme 1YQO,0.2,0.59
S4229,0.04,BM3 Heme 1YQO,0.73,0.0
S4155,0.02,BM3 Heme 1YQO,0.53,0.05
S4162,0.26,BM3 Heme 1YQO,0.97,0.0
S4167,0.03,BM3 Heme 1YQO,0.68,0.0
S4172,0.27,BM3 Heme 1YQO,0.99,0.0
S4177,0.02,BM3 Heme 1YQO,0.19,0.0
S4182,0.46,BM3 Heme 1YQO,0.25,2.17
S4187,0.28,BM3 Heme 1YQO,0.91,0.0
S4191,0.25,BM3 Heme 1YQO,0.86,0.0
S4196,0.04,BM3 Heme 1YQO,0.44,0.11
S4200,0.02,BM3 Heme 1YQO,0.15,0.1
S4205,0.03,BM3 Heme 1YQO,0.2,0.14
S4209,0.26,BM3 Heme 1YQO,0.98,0.0
S4214,0.05,BM3 Heme 1YQO,0.5,0.15
S4220,0.06,BM3 Heme 1YQO,0.76,0.0
S4225,0.04,BM3 Heme 1YQO,0.71,0.1
S4230,0.13,BM3 Heme 1YQO,0.38,0.46
S4231,0.03,BM3 Heme 1YQO,0.54,0.0
S4237,0.23,BM3 Heme 1YQO,0.87,0.0
S4242,0.31,BM3 Heme 1YQO,0.32,1.22
S4269,0.23,BM3 Heme 1YQO,0.89,0.0
S4295,0.04,BM3 Heme 1YQO,0.76,0.09
S4308,0.23,BM3 Heme 1YQO,0.83,0.0
S4321,0.62,BM3 Heme 1YQO,0.47,2.17
S4330,0.23,BM3 Heme 1YQO,0.95,0.0
S4336,0.04,BM3 Heme 1YQO,0.41,0.15
S4342,0.24,BM3 Heme 1YQO,0.97,0.11
S4349,0.04,BM3 Heme 1YQO,0.34,0.13
S4358,0.22,BM3 Heme 1YQO,0.91,0.24
S4363,0.03,BM3 Heme 1YQO,0.47,0.09
S4370,0.23,BM3 Heme 1YQO,0.97,0.51
S4374,0.05,BM3 Heme 1YQO,0.2,0.27
S4381,0.04,BM3 Heme 1YQO,0.5,0.0
S4232,0.24,BM3 Heme 1YQO,0.95,0.05
S4238,0.23,BM3 Heme 1YQO,0.96,0.0
S4243,0.09,BM3 Heme 1YQO,0.15,0.51
S4274,0.35,BM3 Heme 1YQO,0.18,1.93
S4297,0.02,BM3 Heme 1YQO,0.41,0.0
S4311,0.22,BM3 Heme 1YQO,0.9,0.0
S4322,0.4,BM3 Heme 1YQO,0.17,2.36
S4333,0.24,BM3 Heme 1YQO,0.93,0.0
S4339,0.25,BM3 Heme 1YQO,0.96,0.35
S4343,0.02,BM3 Heme 1YQO,0.31,0.07
S4351,0.02,BM3 Heme 1YQO,0.37,0.0
S4359,0.23,BM3 Heme 1YQO,0.87,0.0
S4364,0.24,BM3 Heme 1YQO,0.92,0.56
S4371,0.1,BM3 Heme 1YQO,0.28,0.0
S4375,0.03,BM3 Heme 1YQO,0.44,0.0
S4382,0.03,BM3 Heme 1YQO,0.21,0.13
S4233,0.04,BM3 Heme 1YQO,0.11,0.24
S4239,1.22,BM3 Heme 1YQO,0.36,5.14
S4244,0.04,BM3 Heme 1YQO,0.29,0.16
S4282,0.04,BM3 Heme 1YQO,0.34,0.15
S4303,0.05,BM3 Heme 1YQO,0.24,0.19
S4312,0.04,BM3 Heme 1YQO,0.54,0.11
S4326,0.02,BM3 Heme 1YQO,0.22,0.09
S4334,0.08,BM3 Heme 1YQO,0.24,0.0
S4340,0.05,BM3 Heme 1YQO,0.69,0.0
S4345,0.02,BM3 Heme 1YQO,0.36,0.06
S4353,0.03,BM3 Heme 1YQO,0.38,0.1
S4360,0.6,BM3 Heme 1YQO,0.25,2.91
S4365,1.21,BM3 Heme 1YQO,0.34,4.81
S4372,0.04,BM3 Heme 1YQO,0.5,0.13
S4376,0.13,BM3 Heme 1YQO,0.24,0.57
S4384,0.04,BM3 Heme 1YQO,0.65,0.0
S4235,0.03,BM3 Heme 1YQO,0.5,0.12
S4240,0.38,BM3 Heme 1YQO,0.28,1.66
S4245,0.34,BM3 Heme 1YQO,0.28,1.56
S4285,0.28,BM3 Heme 1YQO,0.91,0.69
S4305,0.06,BM3 Heme 1YQO,0.53,0.18
S4314,0.01,BM3 Heme 1YQO,0.52,0.04
S4327,0.05,BM3 Heme 1YQO,0.51,0.0
S4335,1.04,BM3 Heme 1YQO,0.31,4.43
S4341,0.05,BM3 Heme 1YQO,0.29,0.09
S4348,1.54,BM3 Heme 1YQO,0.48,4.88
S4357,0.01,BM3 Heme 1YQO,0.17,0.06
S4362,1.94,BM3 Heme 1YQO,0.48,6.8
S4368,0.05,BM3 Heme 1YQO,0.6,0.14
S4373,0.02,BM3 Heme 1YQO,0.47,0.0
S4377,0.86,BM3 Heme 1YQO,0.36,3.5
S4385,0.04,BM3 Heme 1YQO,0.26,0.16
S4386,0.02,BM3 Heme 1YQO,0.32,0.0
S4394,0.24,BM3 Heme 1YQO,0.98,0.0
S4402,0.04,BM3 Heme 1YQO,0.45,0.0
S4414,0.03,BM3 Heme 1YQO,0.23,0.0
S5003,0.23,BM3 Heme 1YQO,0.93,0.0
S4389,0.9,BM3 Heme 1YQO,0.23,4.28
S4397,0.04,BM3 Heme 1YQO,0.4,0.0
S4404,0.05,BM3 Heme 1YQO,0.26,0.0
S4416,0.25,BM3 Heme 1YQO,0.98,0.55
S5004,0.26,BM3 Heme 1YQO,0.92,0.52
S4390,0.26,BM3 Heme 1YQO,0.91,0.0
S4398,0.05,BM3 Heme 1YQO,0.27,0.0
S4407,0.25,BM3 Heme 1YQO,0.95,0.45
S4505,0.06,BM3 Heme 1YQO,0.31,0.25
S4391,0.02,BM3 Heme 1YQO,0.2,0.09
S4401,0.03,BM3 Heme 1YQO,0.29,0.0
S4408,0.04,BM3 Heme 1YQO,0.2,0.2
S5001,0.27,BM3 Heme 1YQO,0.96,0.59
S1241,0.04,BM3 Heme 1YQO,0.22,0.15
S1251,0.02,BM3 Heme 1YQO,0.35,0.0
S1257,0.06,BM3 Heme 1YQO,0.2,0.29
S1261,0.06,BM3 Heme 1YQO,0.81,0.0
S1278,0.06,BM3 Heme 1YQO,0.28,0.0
S1283,0.24,BM3 Heme 1YQO,0.94,0.0
S1288,0.03,BM3 Heme 1YQO,0.41,0.0
S1294,0.08,BM3 Heme 1YQO,0.31,0.34
S1304,0.12,BM3 Heme 1YQO,0.17,0.68
S1324,0.02,BM3 Heme 1YQO,0.17,0.0
S1330,0.23,BM3 Heme 1YQO,0.99,0.3
S1336,0.02,BM3 Heme 1YQO,0.31,0.0
S1351,0.04,BM3 Heme 1YQO,0.55,0.0
S1357,0.23,BM3 Heme 1YQO,0.98,0.39
S1374,0.03,BM3 Heme 1YQO,0.22,0.15
S1379,0.04,BM3 Heme 1YQO,0.42,0.01
S1243,0.23,BM3 Heme 1YQO,0.95,0.0
S1252,0.24,BM3 Heme 1YQO,0.96,0.0
S1258,0.01,BM3 Heme 1YQO,0.24,0.05
S1267,0.24,BM3 Heme 1YQO,0.99,0.0
S1280,0.23,BM3 Heme 1YQO,0.96,0.0
S1284,0.02,BM3 Heme 1YQO,0.49,0.07
S1289,0.14,BM3 Heme 1YQO,0.19,0.73
S1299,0.05,BM3 Heme 1YQO,0.41,0.0
S1305,0.95,BM3 Heme 1YQO,0.44,3.55
S1326,0.04,BM3 Heme 1YQO,0.33,0.0
S1331,0.24,BM3 Heme 1YQO,0.96,0.0
S1340,0.24,BM3 Heme 1YQO,0.96,0.0
S1353,0.24,BM3 Heme 1YQO,0.95,0.0
S1358,0.26,BM3 Heme 1YQO,0.89,0.66
S1376,0.01,BM3 Heme 1YQO,0.26,0.06
S1380,0.24,BM3 Heme 1YQO,0.92,0.56
S1247,0.05,BM3 Heme 1YQO,0.92,0.11
S1255,0.44,BM3 Heme 1YQO,0.36,1.79
S1259,0.08,BM3 Heme 1YQO,0.71,0.0
S1271,0.05,BM3 Heme 1YQO,0.37,0.0
S1281,0.04,BM3 Heme 1YQO,0.55,0.12
S1286,0.03,BM3 Heme 1YQO,0.38,0.0
S1291,0.05,BM3 Heme 1YQO,0.43,0.18
S1300,0.04,BM3 Heme 1YQO,0.17,0.0
S1312,1.11,BM3 Heme 1YQO,0.5,3.95
S1328,0.28,BM3 Heme 1YQO,0.21,1.38
S1332,0.24,BM3 Heme 1YQO,0.13,1.55
S1342,0.05,BM3 Heme 1YQO,0.44,0.14
S1354,0.06,BM3 Heme 1YQO,0.51,0.0
S1359,0.05,BM3 Heme 1YQO,0.29,0.22
S1377,3.05,BM3 Heme 1YQO,0.47,11.28
S1381,0.07,BM3 Heme 1YQO,0.13,0.42
S1250,0.17,BM3 Heme 1YQO,0.17,0.96
S1256,0.27,BM3 Heme 1YQO,0.97,0.21
S1260,0.26,BM3 Heme 1YQO,0.86,0.64
S1276,0.26,BM3 Heme 1YQO,0.93,0.0
S1282,0.27,BM3 Heme 1YQO,0.85,0.66
S1287,0.27,BM3 Heme 1YQO,1.0,0.0
S1293,0.07,BM3 Heme 1YQO,0.25,0.25
S1302,0.06,BM3 Heme 1YQO,0.34,0.22
S1322,2.25,BM3 Heme 1YQO,0.51,7.86
S1329,0.04,BM3 Heme 1YQO,0.33,0.0
S1333,0.06,BM3 Heme 1YQO,0.6,0.18
S1344,0.27,BM3 Heme 1YQO,0.94,0.0
S1356,0.05,BM3 Heme 1YQO,0.46,0.18
S1368,0.03,BM3 Heme 1YQO,0.23,0.0
S1378,0.27,BM3 Heme 1YQO,0.96,0.59
S1382,0.03,BM3 Heme 1YQO,0.2,0.14
S1385,0.25,BM3 Heme 1YQO,0.22,1.23
S1391,0.03,BM3 Heme 1YQO,0.43,0.0
S1398,0.07,BM3 Heme 1YQO,0.47,0.0
S1404,0.22,BM3 Heme 1YQO,0.92,0.0
S1409,0.23,BM3 Heme 1YQO,0.96,0.0
S1430,0.21,BM3 Heme 1YQO,0.94,0.0
S1437,0.25,BM3 Heme 1YQO,0.95,0.0
S1442,0.04,BM3 Heme 1YQO,0.44,0.15
S1457,0.03,BM3 Heme 1YQO,0.34,0.1
S1467,0.24,BM3 Heme 1YQO,0.95,0.17
S1490,0.23,BM3 Heme 1YQO,0.95,0.0
S1501,0.07,BM3 Heme 1YQO,0.23,0.36
S1508,0.06,BM3 Heme 1YQO,0.27,0.27
S1538,0.03,BM3 Heme 1YQO,0.28,0.14
S1550,0.06,BM3 Heme 1YQO,0.44,0.21
S1578,0.12,BM3 Heme 1YQO,0.28,0.57
S1386,0.02,BM3 Heme 1YQO,0.43,0.0
S1394,0.04,BM3 Heme 1YQO,0.38,0.17
S1400,0.06,BM3 Heme 1YQO,0.57,0.0
S1405,0.73,BM3 Heme 1YQO,0.46,2.67
S1415,0.23,BM3 Heme 1YQO,0.98,0.0
S1431,0.25,BM3 Heme 1YQO,0.96,0.54
S1438,0.24,BM3 Heme 1YQO,0.98,0.53
S1443,0.04,BM3 Heme 1YQO,0.56,0.12
S1464,0.15,BM3 Heme 1YQO,0.22,0.74
S1468,0.02,BM3 Heme 1YQO,0.32,0.0
S1491,0.02,BM3 Heme 1YQO,0.66,0.04
S1502,0.25,BM3 Heme 1YQO,0.97,0.0
S1512,0.01,BM3 Heme 1YQO,0.38,0.04
S1540,0.03,BM3 Heme 1YQO,0.3,0.13
S1567,0.02,BM3 Heme 1YQO,0.36,0.0
S1593,0.01,BM3 Heme 1YQO,0.27,0.07
S1389,0.03,BM3 Heme 1YQO,0.54,0.09
S1396,1.68,BM3 Heme 1YQO,0.44,6.22
S1401,0.03,BM3 Heme 1YQO,0.21,0.0
S1407,0.02,BM3 Heme 1YQO,0.73,0.0
S1425,0.37,BM3 Heme 1YQO,0.2,2.04
S1432,0.16,BM3 Heme 1YQO,0.35,0.66
S1439,0.2,BM3 Heme 1YQO,0.19,1.01
S1444,0.16,BM3 Heme 1YQO,0.24,0.7
S1465,0.02,BM3 Heme 1YQO,0.25,0.0
S1483,0.05,BM3 Heme 1YQO,0.31,0.21
S1497,0.03,BM3 Heme 1YQO,0.45,0.1
S1504,0.03,BM3 Heme 1YQO,0.43,0.12
S1514,0.04,BM3 Heme 1YQO,0.46,0.12
S1547,0.08,BM3 Heme 1YQO,0.54,0.0
S1569,0.03,BM3 Heme 1YQO,0.3,0.0
S1601,0.03,BM3 Heme 1YQO,0.4,0.0
S1390,0.17,BM3 Heme 1YQO,0.17,0.9
S1397,0.28,BM3 Heme 1YQO,1.0,0.58
S1403,0.04,BM3 Heme 1YQO,0.52,0.16
S1408,0.2,BM3 Heme 1YQO,0.19,1.05
S1426,0.26,BM3 Heme 1YQO,0.19,1.39
S1436,0.27,BM3 Heme 1YQO,0.98,0.19
S1441,0.04,BM3 Heme 1YQO,0.92,0.0
S1445,0.27,BM3 Heme 1YQO,0.95,0.12
S1466,0.12,BM3 Heme 1YQO,0.19,0.62
S1488,0.02,BM3 Heme 1YQO,0.22,0.0
S1500,0.02,BM3 Heme 1YQO,0.25,0.11
S1505,0.01,BM3 Heme 1YQO,0.3,0.0
S1517,0.82,BM3 Heme 1YQO,0.33,3.44
S1549,0.26,BM3 Heme 1YQO,0.98,0.0
S1576,0.03,BM3 Heme 1YQO,0.35,0.11
S1603,0.02,BM3 Heme 1YQO,0.6,0.0
S1604,0.04,BM3 Heme 1YQO,0.39,0.0
S1608,0.23,BM3 Heme 1YQO,0.93,0.0
S1613,0.03,BM3 Heme 1YQO,0.76,0.0
S1619,0.06,BM3 Heme 1YQO,0.45,0.05
S1625,0.11,BM3 Heme 1YQO,0.35,0.41
S1629,0.14,BM3 Heme 1YQO,0.19,0.77
S1636,0.09,BM3 Heme 1YQO,0.42,0.29
S1641,0.26,BM3 Heme 1YQO,0.86,0.12
S1646,0.03,BM3 Heme 1YQO,0.29,0.14
S1652,0.02,BM3 Heme 1YQO,0.33,0.08
S1657,0.03,BM3 Heme 1YQO,0.6,0.0
S1666,0.23,BM3 Heme 1YQO,0.98,0.19
S1672,0.06,BM3 Heme 1YQO,0.26,0.29
S1679,0.07,BM3 Heme 1YQO,0.7,0.2
S1685,0.03,BM3 Heme 1YQO,0.45,0.08
S1691,0.05,BM3 Heme 1YQO,0.38,0.0
S1605,0.03,BM3 Heme 1YQO,0.46,0.0
S1609,0.26,BM3 Heme 1YQO,0.91,0.6
S1614,0.23,BM3 Heme 1YQO,0.91,0.0
S1620,0.25,BM3 Heme 1YQO,0.19,1.32
S1626,0.25,BM3 Heme 1YQO,0.95,0.55
S1630,0.55,BM3 Heme 1YQO,0.42,2.09
S1638,0.38,BM3 Heme 1YQO,0.11,2.67
S1643,0.26,BM3 Heme 1YQO,0.93,0.61
S1647,0.02,BM3 Heme 1YQO,0.24,0.0
S1653,0.27,BM3 Heme 1YQO,0.94,0.6
S1658,0.17,BM3 Heme 1YQO,0.24,0.82
S1667,0.26,BM3 Heme 1YQO,0.88,0.63
S1673,0.25,BM3 Heme 1YQO,0.97,0.0
S1680,0.04,BM3 Heme 1YQO,0.42,0.0
S1688,0.04,BM3 Heme 1YQO,0.28,0.13
S1692,0.04,BM3 Heme 1YQO,0.26,0.0
S1606,0.02,BM3 Heme 1YQO,0.37,0.07
S1610,0.11,BM3 Heme 1YQO,0.29,0.48
S1615,0.04,BM3 Heme 1YQO,0.43,0.0
S1622,0.03,BM3 Heme 1YQO,0.29,0.11
S1627,0.36,BM3 Heme 1YQO,0.66,1.14
S1633,0.42,BM3 Heme 1YQO,0.86,1.06
S1639,0.32,BM3 Heme 1YQO,0.95,0.75
S1644,0.04,BM3 Heme 1YQO,0.23,0.14
S1649,0.28,BM3 Heme 1YQO,0.99,0.44
S1654,0.04,BM3 Heme 1YQO,0.65,0.09
S1662,0.02,BM3 Heme 1YQO,0.13,0.13
S1669,0.04,BM3 Heme 1YQO,0.4,0.14
S1676,0.07,BM3 Heme 1YQO,0.16,0.37
S1681,0.15,BM3 Heme 1YQO,0.21,0.73
S1689,0.14,BM3 Heme 1YQO,0.26,0.6
S1693,0.02,BM3 Heme 1YQO,0.3,0.0
S1607,0.04,BM3 Heme 1YQO,0.36,0.0
S1611,0.02,BM3 Heme 1YQO,0.19,0.0
S1618,0.01,BM3 Heme 1YQO,0.13,0.0
S1623,0.67,BM3 Heme 1YQO,0.34,2.84
S1628,0.32,BM3 Heme 1YQO,0.99,0.23
S1635,0.02,BM3 Heme 1YQO,0.19,0.08
S1640,0.03,BM3 Heme 1YQO,0.62,0.0
S1645,0.03,BM3 Heme 1YQO,0.68,0.0
S1651,0.35,BM3 Heme 1YQO,0.23,1.69
S1655,0.28,BM3 Heme 1YQO,0.99,0.59
S1665,0.01,BM3 Heme 1YQO,0.5,0.0
S1671,0.02,BM3 Heme 1YQO,0.86,0.06
S1677,0.03,BM3 Heme 1YQO,0.3,0.0
S1683,0.03,BM3 Heme 1YQO,0.67,0.07
S1690,0.14,BM3 Heme 1YQO,0.23,0.59
S1696,0.02,BM3 Heme 1YQO,0.37,0.07
S1701,0.04,BM3 Heme 1YQO,0.14,0.22
S1705,0.02,BM3 Heme 1YQO,0.45,0.0
S1712,0.02,BM3 Heme 1YQO,0.43,0.07
S1716,0.26,BM3 Heme 1YQO,0.96,0.0
S1723,0.04,BM3 Heme 1YQO,0.55,0.12
S1702,0.02,BM3 Heme 1YQO,0.52,0.07
S1706,0.25,BM3 Heme 1YQO,0.9,0.58
S1713,0.4,BM3 Heme 1YQO,0.28,1.76
S1718,0.26,BM3 Heme 1YQO,0.9,0.6
S1725,0.23,BM3 Heme 1YQO,0.93,0.31
S1703,0.38,BM3 Heme 1YQO,0.28,1.69
S1708,0.05,BM3 Heme 1YQO,0.77,0.0
S1714,0.04,BM3 Heme 1YQO,0.64,0.0
S1719,0.04,BM3 Heme 1YQO,0.62,0.11
S1704,0.04,BM3 Heme 1YQO,0.55,0.0
S1709,0.29,BM3 Heme 1YQO,0.96,0.0
S1715,0.07,BM3 Heme 1YQO,0.35,0.25
S1721,0.27,BM3 Heme 1YQO,0.89,0.0
S1878,0.03,BM3 Heme 1YQO,0.29,0.13
S1884,0.07,BM3 Heme 1YQO,0.22,0.29
S1891,0.08,BM3 Heme 1YQO,0.32,0.3
S1897,0.02,BM3 Heme 1YQO,0.21,0.1
S1903,0.02,BM3 Heme 1YQO,0.36,0.09
S1908,0.28,BM3 Heme 1YQO,0.85,0.38
S1914,0.22,BM3 Heme 1YQO,0.25,1.0
S1920,0.22,BM3 Heme 1YQO,0.74,0.0
S1933,0.23,BM3 Heme 1YQO,0.92,0.17
S1941,0.04,BM3 Heme 1YQO,0.23,0.0
S1957,0.02,BM3 Heme 1YQO,0.34,0.07
S1962,0.03,BM3 Heme 1YQO,0.38,0.12
S1971,0.02,BM3 Heme 1YQO,0.4,0.09
S1978,0.04,BM3 Heme 1YQO,0.49,0.11
S1988,0.21,BM3 Heme 1YQO,0.95,0.37
S2003,0.03,BM3 Heme 1YQO,0.35,0.0
S1880,0.03,BM3 Heme 1YQO,0.31,0.12
S1885,0.49,BM3 Heme 1YQO,0.25,2.2
S1894,0.24,BM3 Heme 1YQO,0.91,0.0
S1898,0.24,BM3 Heme 1YQO,0.94,0.29
S1904,1.07,BM3 Heme 1YQO,0.27,5.02
S1909,0.24,BM3 Heme 1YQO,0.9,0.5
S1915,0.02,BM3 Heme 1YQO,0.34,0.08
S1921,0.24,BM3 Heme 1YQO,0.88,0.5
S1934,0.25,BM3 Heme 1YQO,0.9,0.0
S1949,0.29,BM3 Heme 1YQO,0.83,0.72
S1958,0.25,BM3 Heme 1YQO,0.89,0.0
S1964,0.23,BM3 Heme 1YQO,0.95,0.12
S1972,1.24,BM3 Heme 1YQO,0.36,4.93
S1979,1.0,BM3 Heme 1YQO,0.37,3.89
S1992,0.36,BM3 Heme 1YQO,0.64,1.04
S2005,0.24,BM3 Heme 1YQO,0.92,0.12
S1881,0.29,BM3 Heme 1YQO,0.92,0.7
S1888,0.02,BM3 Heme 1YQO,0.58,0.07
S1895,1.15,BM3 Heme 1YQO,0.52,3.77
S1899,0.04,BM3 Heme 1YQO,0.47,0.13
S1905,0.26,BM3 Heme 1YQO,0.21,1.26
S1910,0.21,BM3 Heme 1YQO,0.17,1.15
S1916,0.04,BM3 Heme 1YQO,0.32,0.12
S1928,0.04,BM3 Heme 1YQO,0.23,0.19
S1937,0.27,BM3 Heme 1YQO,0.96,0.61
S1952,0.06,BM3 Heme 1YQO,0.6,0.17
S1959,0.03,BM3 Heme 1YQO,0.46,0.11
S1965,0.05,BM3 Heme 1YQO,0.79,0.0
S1974,0.02,BM3 Heme 1YQO,0.6,0.07
S1983,0.07,BM3 Heme 1YQO,0.46,0.0
S1994,0.91,BM3 Heme 1YQO,0.43,3.29
S2006,0.03,BM3 Heme 1YQO,0.59,0.0
S1883,0.02,BM3 Heme 1YQO,0.16,0.1
S1890,0.27,BM3 Heme 1YQO,0.97,0.26
S1896,0.02,BM3 Heme 1YQO,0.37,0.06
S1902,0.4,BM3 Heme 1YQO,0.25,1.92
S1907,0.28,BM3 Heme 1YQO,1.0,0.08
S1913,0.26,BM3 Heme 1YQO,0.98,0.0
S1917,0.68,BM3 Heme 1YQO,0.29,2.71
S1929,0.26,BM3 Heme 1YQO,0.95,0.0
S1940,0.27,BM3 Heme 1YQO,0.96,0.09
S1956,0.28,BM3 Heme 1YQO,0.17,1.42
S1960,0.27,BM3 Heme 1YQO,0.99,0.48
S1969,0.26,BM3 Heme 1YQO,0.98,0.0
S1975,0.66,BM3 Heme 1YQO,0.38,2.64
S1987,0.17,BM3 Heme 1YQO,0.2,0.85
S2001,0.52,BM3 Heme 1YQO,0.58,1.64
S2007,0.46,BM3 Heme 1YQO,0.68,1.4
S2011,0.24,BM3 Heme 1YQO,0.94,0.0
S2020,0.02,BM3 Heme 1YQO,0.32,0.0
S2026,0.25,BM3 Heme 1YQO,0.87,0.19
S2031,0.67,BM3 Heme 1YQO,0.28,2.95
S2037,0.03,BM3 Heme 1YQO,0.2,0.14
S2043,0.22,BM3 Heme 1YQO,0.9,0.0
S2047,0.04,BM3 Heme 1YQO,0.42,0.13
S2054,0.26,BM3 Heme 1YQO,0.79,0.73
S2059,0.23,BM3 Heme 1YQO,0.98,0.04
S2064,0.26,BM3 Heme 1YQO,0.91,0.6
S2069,0.03,BM3 Heme 1YQO,0.41,0.08
S2078,0.22,BM3 Heme 1YQO,0.91,0.0
S2084,0.05,BM3 Heme 1YQO,0.3,0.21
S2090,0.21,BM3 Heme 1YQO,0.88,0.05
S2097,0.03,BM3 Heme 1YQO,0.39,0.0
S2102,0.22,BM3 Heme 1YQO,0.98,0.35
S2015,0.03,BM3 Heme 1YQO,0.63,0.0
S2021,0.32,BM3 Heme 1YQO,0.7,0.94
S2028,0.25,BM3 Heme 1YQO,0.9,0.0
S2032,0.25,BM3 Heme 1YQO,0.99,0.52
S2038,0.24,BM3 Heme 1YQO,0.97,0.13
S2044,0.25,BM3 Heme 1YQO,0.91,0.58
S2051,0.24,BM3 Heme 1YQO,0.93,0.0
S2055,0.24,BM3 Heme 1YQO,0.98,0.5
S2060,0.24,BM3 Heme 1YQO,0.9,0.0
S2065,0.02,BM3 Heme 1YQO,0.35,0.0
S2074,0.23,BM3 Heme 1YQO,0.98,0.36
S2079,0.24,BM3 Heme 1YQO,0.95,0.03
S2085,0.24,BM3 Heme 1YQO,0.97,0.53
S2091,0.25,BM3 Heme 1YQO,0.96,0.29
S2098,0.02,BM3 Heme 1YQO,0.29,0.0
S2103,0.03,BM3 Heme 1YQO,0.23,0.0
S2016,0.02,BM3 Heme 1YQO,0.16,0.12
S2024,0.03,BM3 Heme 1YQO,0.59,0.0
S2029,0.04,BM3 Heme 1YQO,0.2,0.2
S2035,4.16,BM3 Heme 1YQO,0.58,13.1
S2040,1.73,BM3 Heme 1YQO,0.43,6.47
S2045,0.29,BM3 Heme 1YQO,0.94,0.0
S2052,0.05,BM3 Heme 1YQO,0.58,0.12
S2057,0.03,BM3 Heme 1YQO,0.67,0.08
S2061,0.05,BM3 Heme 1YQO,0.4,0.0
S2066,0.04,BM3 Heme 1YQO,0.49,0.0
S2075,0.19,BM3 Heme 1YQO,0.32,0.76
S2080,0.43,BM3 Heme 1YQO,0.25,2.02
S2086,0.04,BM3 Heme 1YQO,0.27,0.0
S2092,0.03,BM3 Heme 1YQO,0.33,0.0
S2099,0.03,BM3 Heme 1YQO,0.3,0.0
S2104,0.04,BM3 Heme 1YQO,0.45,0.0
