cpd,km,protein,rsq,vmax
S2584,0.03,BM3 Heme A82F,0.82,0.08
S2590,0.97,BM3 Heme A82F,0.48,3.3
S2599,0.05,BM3 Heme A82F,0.82,0.0
S2579,0.09,BM3 Heme A82F,0.5,0.0
S2585,0.03,BM3 Heme A82F,0.82,0.09
S2593,0.1,BM3 Heme A82F,0.99,0.0
S2601,0.4,BM3 Heme A82F,0.25,1.89
S3149,0.13,BM3 Heme A82F,0.14,0.81
S3155,0.06,BM3 Heme A82F,0.61,0.18
S3163,0.03,BM3 Heme A82F,0.9,0.07
S3173,0.06,BM3 Heme A82F,0.58,0.19
S3179,0.06,BM3 Heme A82F,0.45,0.19
S3186,0.01,BM3 Heme A82F,0.34,0.02
S3196,0.02,BM3 Heme A82F,0.23,0.1
S3202,0.02,BM3 Heme A82F,0.73,0.07
S3212,0.01,BM3 Heme A82F,0.24,0.05
S4007,0.01,BM3 Heme A82F,0.34,0.03
S4012,0.06,BM3 Heme A82F,0.78,0.0
S4017,0.01,BM3 Heme A82F,0.41,0.02
S4022,0.01,BM3 Heme A82F,0.49,0.0
S4026,0.01,BM3 Heme A82F,0.29,0.0
S4035,0.05,BM3 Heme A82F,0.75,0.0
S4040,0.02,BM3 Heme A82F,0.13,0.0
S3150,0.02,BM3 Heme A82F,0.53,0.07
S3160,0.07,BM3 Heme A82F,0.65,0.19
S3167,0.39,BM3 Heme A82F,0.28,1.68
S3175,0.05,BM3 Heme A82F,0.67,0.16
S3181,0.03,BM3 Heme A82F,0.66,0.1
S3188,0.05,BM3 Heme A82F,0.62,0.15
S3199,0.03,BM3 Heme A82F,0.58,0.08
S3204,0.02,BM3 Heme A82F,0.56,0.07
S4000,0.0,BM3 Heme A82F,0.17,0.0
S4009,0.02,BM3 Heme A82F,0.4,0.0
S4014,0.02,BM3 Heme A82F,0.24,0.0
S4019,0.0,BM3 Heme A82F,0.21,0.02
S4023,0.01,BM3 Heme A82F,0.34,0.0
S4027,0.03,BM3 Heme A82F,0.57,0.0
S4037,0.05,BM3 Heme A82F,0.76,0.13
S4041,0.02,BM3 Heme A82F,0.17,0.1
S3151,0.41,BM3 Heme A82F,0.28,1.69
S3161,0.03,BM3 Heme A82F,0.8,0.08
S3170,0.03,BM3 Heme A82F,0.41,0.08
S3176,0.04,BM3 Heme A82F,0.94,0.08
S3183,0.02,BM3 Heme A82F,0.24,0.0
S3189,0.13,BM3 Heme A82F,0.99,0.0
S3200,0.03,BM3 Heme A82F,0.36,0.02
S3208,0.09,BM3 Heme A82F,0.64,0.25
S4003,0.01,BM3 Heme A82F,0.24,0.05
S4010,0.02,BM3 Heme A82F,0.42,0.06
S4015,0.01,BM3 Heme A82F,0.66,0.0
S4020,0.02,BM3 Heme A82F,0.54,0.04
S4024,0.01,BM3 Heme A82F,0.33,0.0
S4031,0.02,BM3 Heme A82F,0.29,0.06
S4038,0.06,BM3 Heme A82F,0.45,0.0
S4042,0.04,BM3 Heme A82F,0.39,0.0
S3154,0.03,BM3 Heme A82F,0.26,0.16
S3162,0.03,BM3 Heme A82F,0.51,0.09
S3172,0.05,BM3 Heme A82F,0.84,0.13
S3178,0.01,BM3 Heme A82F,0.2,0.05
S3185,0.01,BM3 Heme A82F,0.54,0.03
S3195,0.01,BM3 Heme A82F,0.53,0.03
S3201,0.02,BM3 Heme A82F,0.24,0.1
S3209,0.02,BM3 Heme A82F,0.36,0.0
S4004,0.01,BM3 Heme A82F,0.19,0.07
S4011,0.01,BM3 Heme A82F,0.7,0.01
S4016,0.02,BM3 Heme A82F,0.79,0.05
S4021,0.01,BM3 Heme A82F,0.48,0.0
S4025,0.0,BM3 Heme A82F,0.35,0.01
S4034,0.01,BM3 Heme A82F,0.47,0.02
S4039,0.03,BM3 Heme A82F,0.24,0.16
S4043,0.03,BM3 Heme A82F,0.3,0.0
S4044,0.02,BM3 Heme A82F,0.31,0.07
S4048,0.03,BM3 Heme A82F,0.38,0.0
S4053,0.04,BM3 Heme A82F,0.4,0.15
S4058,0.02,BM3 Heme A82F,0.38,0.06
S4063,0.1,BM3 Heme A82F,0.19,0.5
S4070,0.16,BM3 Heme A82F,0.26,0.71
S4075,0.18,BM3 Heme A82F,0.34,0.67
S4079,0.11,BM3 Heme A82F,0.48,0.32
S4084,0.02,BM3 Heme A82F,0.35,0.05
S4089,0.03,BM3 Heme A82F,0.31,0.08
S4096,0.02,BM3 Heme A82F,0.58,0.06
S4101,0.02,BM3 Heme A82F,0.52,0.07
S4106,0.05,BM3 Heme A82F,0.24,0.26
S4116,0.02,BM3 Heme A82F,0.57,0.05
S4132,0.01,BM3 Heme A82F,0.28,0.05
S4144,0.05,BM3 Heme A82F,0.34,0.0
S4045,0.02,BM3 Heme A82F,0.74,0.05
S4049,0.07,BM3 Heme A82F,0.65,0.18
S4054,0.09,BM3 Heme A82F,0.28,0.4
S4059,0.34,BM3 Heme A82F,0.2,1.76
S4064,0.03,BM3 Heme A82F,0.77,0.07
S4072,0.25,BM3 Heme A82F,0.22,1.19
S4076,0.16,BM3 Heme A82F,0.12,1.02
S4080,0.07,BM3 Heme A82F,0.39,0.27
S4085,0.07,BM3 Heme A82F,0.92,0.15
S4090,0.02,BM3 Heme A82F,0.46,0.06
S4097,0.2,BM3 Heme A82F,0.18,1.04
S4102,0.03,BM3 Heme A82F,0.73,0.0
S4107,0.02,BM3 Heme A82F,0.49,0.06
S4120,0.02,BM3 Heme A82F,0.43,0.07
S4135,0.02,BM3 Heme A82F,0.48,0.06
S4146,0.06,BM3 Heme A82F,0.46,0.0
S4046,0.02,BM3 Heme A82F,0.56,0.0
S4050,0.09,BM3 Heme A82F,0.1,0.65
S4056,0.03,BM3 Heme A82F,0.87,0.0
S4060,0.02,BM3 Heme A82F,0.39,0.05
S4065,0.15,BM3 Heme A82F,0.4,0.58
S4073,0.22,BM3 Heme A82F,0.57,0.69
S4077,0.06,BM3 Heme A82F,0.22,0.31
S4081,0.03,BM3 Heme A82F,0.31,0.14
S4086,0.03,BM3 Heme A82F,0.84,0.06
S4092,0.02,BM3 Heme A82F,0.64,0.06
S4099,0.03,BM3 Heme A82F,0.56,0.11
S4104,0.02,BM3 Heme A82F,0.43,0.06
S4111,0.07,BM3 Heme A82F,0.31,0.27
S4122,0.14,BM3 Heme A82F,0.19,0.66
S4136,0.1,BM3 Heme A82F,0.29,0.4
S4147,0.04,BM3 Heme A82F,0.48,0.11
S4047,0.01,BM3 Heme A82F,0.37,0.0
S4051,0.02,BM3 Heme A82F,0.75,0.05
S4057,0.02,BM3 Heme A82F,0.35,0.06
S4062,0.93,BM3 Heme A82F,0.29,4.38
S4068,0.02,BM3 Heme A82F,0.4,0.06
S4074,0.03,BM3 Heme A82F,0.39,0.11
S4078,0.02,BM3 Heme A82F,0.47,0.05
S4082,0.03,BM3 Heme A82F,0.56,0.09
S4088,0.38,BM3 Heme A82F,0.27,1.78
S4095,0.02,BM3 Heme A82F,0.77,0.04
S4100,0.03,BM3 Heme A82F,0.86,0.06
S4105,0.03,BM3 Heme A82F,0.9,0.0
S4114,0.02,BM3 Heme A82F,0.42,0.07
S4128,0.02,BM3 Heme A82F,0.64,0.06
S4138,0.14,BM3 Heme A82F,0.21,0.72
S4148,0.02,BM3 Heme A82F,0.37,0.08
S4149,0.36,BM3 Heme A82F,0.3,1.55
S4159,0.06,BM3 Heme A82F,0.69,0.16
S4164,0.03,BM3 Heme A82F,0.34,0.1
S4169,0.04,BM3 Heme A82F,0.9,0.0
S4173,0.02,BM3 Heme A82F,0.41,0.06
S4178,0.04,BM3 Heme A82F,0.45,0.14
S4184,0.02,BM3 Heme A82F,0.43,0.07
S4188,0.05,BM3 Heme A82F,0.82,0.12
S4192,0.06,BM3 Heme A82F,0.92,0.0
S4197,0.02,BM3 Heme A82F,0.42,0.07
S4201,0.07,BM3 Heme A82F,0.78,0.2
S4206,0.06,BM3 Heme A82F,0.12,0.4
S4210,0.13,BM3 Heme A82F,0.45,0.45
S4216,0.02,BM3 Heme A82F,0.38,0.05
S4221,0.02,BM3 Heme A82F,0.31,0.09
S4227,0.1,BM3 Heme A82F,0.17,0.55
S4151,0.02,BM3 Heme A82F,0.45,0.06
S4160,0.02,BM3 Heme A82F,0.87,0.0
S4165,0.02,BM3 Heme A82F,0.69,0.0
S4170,0.27,BM3 Heme A82F,0.26,1.28
S4175,0.02,BM3 Heme A82F,0.48,0.06
S4179,0.05,BM3 Heme A82F,0.5,0.17
S4185,0.03,BM3 Heme A82F,0.41,0.08
S4189,0.02,BM3 Heme A82F,0.51,0.0
S4194,0.14,BM3 Heme A82F,0.19,0.71
S4198,0.01,BM3 Heme A82F,0.57,0.0
S4203,0.07,BM3 Heme A82F,0.65,0.17
S4207,0.02,BM3 Heme A82F,0.59,0.06
S4211,0.06,BM3 Heme A82F,0.71,0.16
S4217,0.02,BM3 Heme A82F,0.43,0.06
S4222,0.03,BM3 Heme A82F,0.36,0.11
S4228,0.02,BM3 Heme A82F,0.71,0.0
S4152,0.02,BM3 Heme A82F,0.47,0.06
S4161,1.83,BM3 Heme A82F,0.42,7.09
S4166,0.03,BM3 Heme A82F,0.82,0.0
S4171,0.02,BM3 Heme A82F,0.49,0.05
S4176,0.4,BM3 Heme A82F,0.22,1.99
S4181,0.19,BM3 Heme A82F,0.47,0.68
S4186,0.21,BM3 Heme A82F,0.2,1.04
S4190,0.23,BM3 Heme A82F,0.21,1.07
S4195,0.08,BM3 Heme A82F,0.96,0.0
S4199,0.02,BM3 Heme A82F,0.9,0.06
S4204,0.08,BM3 Heme A82F,0.96,0.17
S4208,0.01,BM3 Heme A82F,0.16,0.0
S4213,0.07,BM3 Heme A82F,0.97,0.14
S4219,0.02,BM3 Heme A82F,0.33,0.06
S4223,0.05,BM3 Heme A82F,0.63,0.0
S4229,0.08,BM3 Heme A82F,0.66,0.26
S4155,0.21,BM3 Heme A82F,0.16,1.12
S4162,0.09,BM3 Heme A82F,0.85,0.22
S4167,0.02,BM3 Heme A82F,0.38,0.06
S4172,0.23,BM3 Heme A82F,0.17,1.32
S4177,0.46,BM3 Heme A82F,0.29,2.04
S4182,0.02,BM3 Heme A82F,0.55,0.07
S4187,0.03,BM3 Heme A82F,0.57,0.0
S4191,0.06,BM3 Heme A82F,0.45,0.2
S4196,0.13,BM3 Heme A82F,0.12,0.83
S4200,0.02,BM3 Heme A82F,0.33,0.06
S4205,0.02,BM3 Heme A82F,0.48,0.0
S4209,0.02,BM3 Heme A82F,0.31,0.07
S4214,0.9,BM3 Heme A82F,0.37,3.38
S4220,0.05,BM3 Heme A82F,0.06,0.44
S4225,0.03,BM3 Heme A82F,0.86,0.07
S4230,0.02,BM3 Heme A82F,0.21,0.11
S4231,0.02,BM3 Heme A82F,0.53,0.07
S4237,0.03,BM3 Heme A82F,0.81,0.06
S4242,0.1,BM3 Heme A82F,0.42,0.35
S4269,0.15,BM3 Heme A82F,0.11,1.07
S4295,0.01,BM3 Heme A82F,0.25,0.0
S4308,0.05,BM3 Heme A82F,0.73,0.0
S4321,0.03,BM3 Heme A82F,0.65,0.08
S4330,0.15,BM3 Heme A82F,0.15,0.88
S4336,0.17,BM3 Heme A82F,0.13,1.06
S4342,0.02,BM3 Heme A82F,0.66,0.06
S4349,0.01,BM3 Heme A82F,0.65,0.03
S4358,0.01,BM3 Heme A82F,0.47,0.03
S4363,0.03,BM3 Heme A82F,0.71,0.09
S4370,0.02,BM3 Heme A82F,0.65,0.05
S4374,0.05,BM3 Heme A82F,0.51,0.0
S4381,0.02,BM3 Heme A82F,0.68,0.0
S4232,0.02,BM3 Heme A82F,0.45,0.0
S4238,0.07,BM3 Heme A82F,0.58,0.18
S4243,0.01,BM3 Heme A82F,0.42,0.02
S4274,0.04,BM3 Heme A82F,0.82,0.0
S4297,0.01,BM3 Heme A82F,0.61,0.0
S4311,0.01,BM3 Heme A82F,0.7,0.0
S4322,0.19,BM3 Heme A82F,0.25,0.88
S4333,0.03,BM3 Heme A82F,0.69,0.1
S4339,0.72,BM3 Heme A82F,0.31,3.18
S4343,0.08,BM3 Heme A82F,0.95,0.0
S4351,0.03,BM3 Heme A82F,0.6,0.08
S4359,0.01,BM3 Heme A82F,0.56,0.0
S4364,0.02,BM3 Heme A82F,0.35,0.06
S4371,0.02,BM3 Heme A82F,0.37,0.05
S4375,0.06,BM3 Heme A82F,0.46,0.2
S4382,0.06,BM3 Heme A82F,0.55,0.19
S4233,0.09,BM3 Heme A82F,0.95,0.0
S4239,0.55,BM3 Heme A82F,0.33,2.16
S4244,0.08,BM3 Heme A82F,0.72,0.21
S4282,0.12,BM3 Heme A82F,0.89,0.29
S4303,0.08,BM3 Heme A82F,0.9,0.0
S4312,0.1,BM3 Heme A82F,0.9,0.24
S4326,0.1,BM3 Heme A82F,0.15,0.5
S4334,0.07,BM3 Heme A82F,0.38,0.0
S4340,1.08,BM3 Heme A82F,0.35,4.81
S4345,0.28,BM3 Heme A82F,0.22,1.39
S4353,0.38,BM3 Heme A82F,0.19,2.07
S4360,0.04,BM3 Heme A82F,0.66,0.1
S4365,0.02,BM3 Heme A82F,0.51,0.05
S4372,0.02,BM3 Heme A82F,0.45,0.07
S4376,3.23,BM3 Heme A82F,0.48,11.92
S4384,0.13,BM3 Heme A82F,0.18,0.69
S4235,0.16,BM3 Heme A82F,0.21,0.79
S4240,0.02,BM3 Heme A82F,0.32,0.07
S4245,0.11,BM3 Heme A82F,0.14,0.67
S4285,0.02,BM3 Heme A82F,0.45,0.0
S4305,0.03,BM3 Heme A82F,0.71,0.08
S4314,0.01,BM3 Heme A82F,0.23,0.06
S4327,0.05,BM3 Heme A82F,0.18,0.29
S4335,0.05,BM3 Heme A82F,0.23,0.21
S4341,1.84,BM3 Heme A82F,0.43,7.07
S4348,0.06,BM3 Heme A82F,0.57,0.21
S4357,0.02,BM3 Heme A82F,0.46,0.08
S4362,0.08,BM3 Heme A82F,0.52,0.27
S4368,0.02,BM3 Heme A82F,0.43,0.05
S4373,0.06,BM3 Heme A82F,0.93,0.15
S4377,0.03,BM3 Heme A82F,0.83,0.0
S4385,0.07,BM3 Heme A82F,0.42,0.22
S4386,0.03,BM3 Heme A82F,0.61,0.09
S4394,0.16,BM3 Heme A82F,0.14,1.01
S4402,0.02,BM3 Heme A82F,0.34,0.05
S4414,0.03,BM3 Heme A82F,0.58,0.08
S5003,0.02,BM3 Heme A82F,0.71,0.0
S4389,0.04,BM3 Heme A82F,0.34,0.14
S4397,0.22,BM3 Heme A82F,0.11,1.49
S4404,0.02,BM3 Heme A82F,0.46,0.0
S4416,0.2,BM3 Heme A82F,0.24,0.84
S5004,0.01,BM3 Heme A82F,0.3,0.04
S4390,0.02,BM3 Heme A82F,0.54,0.0
S4398,0.03,BM3 Heme A82F,0.43,0.0
S4407,0.07,BM3 Heme A82F,0.86,0.18
S4505,3.35,BM3 Heme A82F,0.54,10.94
S4391,0.12,BM3 Heme A82F,0.66,0.37
S4401,0.1,BM3 Heme A82F,0.55,0.31
S4408,0.13,BM3 Heme A82F,0.45,0.47
S5001,0.08,BM3 Heme A82F,0.69,0.21
S1241,0.01,BM3 Heme A82F,0.48,0.05
S1251,0.04,BM3 Heme A82F,0.86,0.0
S1257,0.41,BM3 Heme A82F,0.17,2.36
S1261,0.05,BM3 Heme A82F,0.94,0.0
S1278,0.03,BM3 Heme A82F,0.75,0.07
S1283,0.04,BM3 Heme A82F,0.73,0.0
S1288,0.48,BM3 Heme A82F,0.35,1.88
S1294,0.06,BM3 Heme A82F,0.42,0.0
S1304,0.07,BM3 Heme A82F,0.96,0.0
S1324,0.09,BM3 Heme A82F,0.95,0.2
S1330,0.02,BM3 Heme A82F,0.68,0.0
S1336,0.07,BM3 Heme A82F,0.96,0.15
S1351,0.07,BM3 Heme A82F,0.96,0.0
S1357,0.02,BM3 Heme A82F,0.32,0.06
S1374,0.13,BM3 Heme A82F,0.71,0.33
S1379,0.08,BM3 Heme A82F,0.97,0.04
S1243,0.03,BM3 Heme A82F,0.68,0.0
S1252,0.06,BM3 Heme A82F,0.71,0.14
S1258,0.15,BM3 Heme A82F,0.28,0.67
S1267,0.57,BM3 Heme A82F,0.25,2.63
S1280,0.02,BM3 Heme A82F,0.82,0.06
S1284,0.07,BM3 Heme A82F,0.58,0.2
S1289,0.32,BM3 Heme A82F,0.21,1.55
S1299,0.06,BM3 Heme A82F,0.78,0.15
S1305,0.08,BM3 Heme A82F,0.83,0.19
S1326,0.08,BM3 Heme A82F,0.95,0.19
S1331,0.02,BM3 Heme A82F,0.62,0.0
S1340,0.08,BM3 Heme A82F,0.84,0.18
S1353,0.07,BM3 Heme A82F,0.88,0.17
S1358,0.19,BM3 Heme A82F,0.22,0.93
S1376,0.08,BM3 Heme A82F,0.99,0.0
S1380,0.07,BM3 Heme A82F,0.85,0.17
S1247,0.04,BM3 Heme A82F,0.72,0.0
S1255,1.79,BM3 Heme A82F,0.42,6.97
S1259,0.05,BM3 Heme A82F,0.61,0.0
S1271,0.03,BM3 Heme A82F,0.47,0.0
S1281,0.1,BM3 Heme A82F,0.86,0.24
S1286,0.13,BM3 Heme A82F,0.96,0.29
S1291,0.03,BM3 Heme A82F,0.53,0.0
S1300,0.05,BM3 Heme A82F,0.64,0.0
S1312,0.08,BM3 Heme A82F,0.94,0.14
S1328,0.01,BM3 Heme A82F,0.34,0.03
S1332,0.01,BM3 Heme A82F,0.42,0.05
S1342,0.83,BM3 Heme A82F,0.38,3.24
S1354,0.96,BM3 Heme A82F,0.42,3.25
S1359,0.02,BM3 Heme A82F,0.37,0.07
S1377,0.21,BM3 Heme A82F,0.42,0.77
S1381,0.02,BM3 Heme A82F,0.41,0.08
S1250,0.02,BM3 Heme A82F,0.6,0.05
S1256,0.38,BM3 Heme A82F,0.32,1.42
S1260,0.28,BM3 Heme A82F,0.21,1.43
S1276,0.02,BM3 Heme A82F,0.62,0.06
S1282,0.14,BM3 Heme A82F,0.99,0.04
S1287,0.03,BM3 Heme A82F,0.61,0.0
S1293,0.03,BM3 Heme A82F,0.62,0.09
S1302,0.75,BM3 Heme A82F,0.37,2.79
S1322,0.01,BM3 Heme A82F,0.39,0.05
S1329,0.65,BM3 Heme A82F,0.53,1.82
S1333,0.02,BM3 Heme A82F,0.56,0.06
S1344,1.68,BM3 Heme A82F,0.5,5.58
S1356,0.01,BM3 Heme A82F,0.39,0.04
S1368,0.02,BM3 Heme A82F,0.75,0.05
S1378,1.02,BM3 Heme A82F,0.4,4.02
S1382,0.02,BM3 Heme A82F,0.58,0.0
S1385,0.03,BM3 Heme A82F,0.39,0.1
S1391,0.03,BM3 Heme A82F,0.89,0.06
S1398,0.03,BM3 Heme A82F,0.47,0.1
S1404,0.02,BM3 Heme A82F,0.63,0.05
S1409,0.04,BM3 Heme A82F,0.62,0.1
S1430,0.18,BM3 Heme A82F,0.21,0.88
S1437,0.04,BM3 Heme A82F,0.46,0.0
S1442,0.05,BM3 Heme A82F,0.88,0.13
S1457,0.14,BM3 Heme A82F,0.12,0.93
S1467,0.09,BM3 Heme A82F,0.79,0.24
S1490,0.07,BM3 Heme A82F,0.97,0.0
S1501,0.23,BM3 Heme A82F,0.15,1.32
S1508,0.06,BM3 Heme A82F,0.17,0.33
S1538,0.59,BM3 Heme A82F,0.28,2.58
S1550,0.24,BM3 Heme A82F,0.3,1.04
S1578,0.09,BM3 Heme A82F,0.14,0.51
S1386,0.04,BM3 Heme A82F,0.52,0.12
S1394,0.03,BM3 Heme A82F,0.57,0.0
S1400,0.03,BM3 Heme A82F,0.52,0.09
S1405,0.11,BM3 Heme A82F,0.46,0.0
S1415,0.03,BM3 Heme A82F,0.61,0.1
S1431,0.04,BM3 Heme A82F,0.77,0.12
S1438,0.19,BM3 Heme A82F,0.28,0.81
S1443,0.06,BM3 Heme A82F,0.63,0.2
S1464,0.08,BM3 Heme A82F,0.87,0.2
S1468,0.08,BM3 Heme A82F,0.98,0.17
S1491,0.09,BM3 Heme A82F,0.72,0.25
S1502,0.02,BM3 Heme A82F,0.4,0.09
S1512,0.07,BM3 Heme A82F,0.97,0.16
S1540,0.71,BM3 Heme A82F,0.32,3.13
S1567,0.02,BM3 Heme A82F,0.2,0.07
S1593,0.09,BM3 Heme A82F,0.76,0.25
S1389,0.04,BM3 Heme A82F,0.54,0.0
S1396,0.03,BM3 Heme A82F,0.66,0.0
S1401,0.05,BM3 Heme A82F,0.48,0.0
S1407,0.04,BM3 Heme A82F,0.46,0.0
S1425,0.1,BM3 Heme A82F,0.79,0.27
S1432,0.04,BM3 Heme A82F,0.27,0.17
S1439,0.06,BM3 Heme A82F,0.56,0.0
S1444,0.09,BM3 Heme A82F,0.72,0.06
S1465,0.02,BM3 Heme A82F,0.62,0.05
S1483,0.02,BM3 Heme A82F,0.46,0.06
S1497,0.03,BM3 Heme A82F,0.63,0.0
S1504,0.05,BM3 Heme A82F,0.38,0.17
S1514,0.01,BM3 Heme A82F,0.59,0.03
S1547,0.03,BM3 Heme A82F,0.4,0.09
S1569,0.1,BM3 Heme A82F,0.11,0.64
S1601,0.04,BM3 Heme A82F,0.55,0.0
S1390,0.02,BM3 Heme A82F,0.6,0.05
S1397,0.13,BM3 Heme A82F,0.98,0.27
S1403,0.04,BM3 Heme A82F,0.42,0.15
S1408,0.04,BM3 Heme A82F,0.73,0.0
S1426,0.04,BM3 Heme A82F,0.16,0.21
S1436,0.28,BM3 Heme A82F,0.2,1.37
S1441,0.09,BM3 Heme A82F,0.78,0.0
S1445,0.12,BM3 Heme A82F,0.69,0.0
S1466,0.02,BM3 Heme A82F,0.44,0.05
S1488,0.02,BM3 Heme A82F,0.69,0.05
S1500,0.02,BM3 Heme A82F,0.24,0.1
S1505,0.02,BM3 Heme A82F,0.12,0.1
S1517,0.03,BM3 Heme A82F,0.35,0.08
S1549,0.02,BM3 Heme A82F,0.44,0.05
S1576,0.05,BM3 Heme A82F,0.84,0.0
S1603,0.13,BM3 Heme A82F,0.28,0.54
S1604,0.1,BM3 Heme A82F,0.17,0.58
S1608,0.01,BM3 Heme A82F,0.34,0.05
