baseline,,bm3-a82f-f87v-heme-10in1000-tube-dm,,bm3-a82f-f87v-heme-10in1000-tube-60,,bm3-a82f-f87v-heme-10in1000-tube-65,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
692.9993286,5.063590652E-005,692.9993286,0.01776121557,692.9993286,0.01132928487,692.9993286,0.012981846,
691.9911499,-0.0007780560991,691.9911499,0.01550464798,691.9911499,0.009391100146,691.9911499,0.0123796761,
690.982605,0.0005676877336,690.982605,0.01675198041,690.982605,0.01069952454,690.982605,0.0125127621,
690.0097656,-0.0002852732141,690.0097656,0.01723285764,690.0097656,0.01066474337,690.0097656,0.01153814979,
689.0006104,0.0002354449243,689.0006104,0.01691488735,689.0006104,0.01097827591,689.0006104,0.01352193113,
687.9911499,0.0002025013673,687.9911499,0.01758451387,687.9911499,0.01094485261,687.9911499,0.0129943816,
687.017334,-0.0002940168197,687.017334,0.01666990295,687.017334,0.01078963559,687.017334,0.01258587558,
686.0071411,3.90879859E-006,686.0071411,0.01829202659,686.0071411,0.01253479626,686.0071411,0.01402242389,
684.9967041,0.0005131040234,684.9967041,0.01939673908,684.9967041,0.01204383839,684.9967041,0.01371569,
683.9859619,-0.0002955171803,683.9859619,0.01793580502,683.9859619,0.01145160478,683.9859619,0.01387700718,
683.0109253,0.0003502230102,683.0109253,0.01863710955,683.0109253,0.01290645171,683.0109253,0.01481001358,
681.9994507,-0.0003854780225,681.9994507,0.01868272386,681.9994507,0.01313168462,681.9994507,0.01455042139,
680.9877319,0.000723623496,680.9877319,0.01970193349,680.9877319,0.0131769646,680.9877319,0.01551859826,
680.0118408,8.947111928E-005,680.0118408,0.01847061142,680.0118408,0.01303409785,680.0118408,0.0152401356,
678.9994507,0.0002538861008,678.9994507,0.01927118748,678.9994507,0.01324135624,678.9994507,0.0154965464,
677.9866943,0.000284139649,677.9866943,0.01979333721,677.9866943,0.01353295986,677.9866943,0.01512349863,
677.0098877,0.0009136997396,677.0098877,0.02088751085,677.0098877,0.01499585342,677.0098877,0.0168832913,
675.996582,0.0002318189363,675.996582,0.02134876698,675.996582,0.01461067982,675.996582,0.01636623964,
674.9829102,0.0003149652039,674.9829102,0.02177259699,674.9829102,0.01498845872,674.9829102,0.017256964,
674.005127,0.0002849944576,674.005127,0.02263440005,674.005127,0.01558610145,674.005127,0.01802038774,
672.9909058,-0.0002161975572,672.9909058,0.02245594934,672.9909058,0.01569819264,672.9909058,0.01716385968,
672.0125122,-0.0002780815703,672.0125122,0.02251123637,672.0125122,0.01635884866,672.0125122,0.01777011529,
670.9976196,-9.866610344E-005,670.9976196,0.02382205985,670.9976196,0.01635376737,670.9976196,0.01914629526,
669.9823608,4.097942292E-005,669.9823608,0.02295093983,669.9823608,0.01772605255,669.9823608,0.01939657703,
669.0031738,0.0001861600031,669.0031738,0.0254411418,669.0031738,0.01830296218,669.0031738,0.02061913162,
667.9873047,0.0007740585716,667.9873047,0.02657059766,667.9873047,0.01899039187,667.9873047,0.02174208872,
667.0074463,0.0005556351971,667.0074463,0.02698652819,667.0074463,0.01983549446,667.0074463,0.02206366882,
665.9910278,0.0002035372891,665.9910278,0.02709217928,665.9910278,0.02027626708,665.9910278,0.02337196656,
665.010498,-0.0004272706283,665.010498,0.02854348905,665.010498,0.02120487206,665.010498,0.02384021878,
663.9934082,-0.0004349770024,663.9934082,0.02951661311,663.9934082,0.02141234279,663.9934082,0.02487945929,
663.0124512,0.0006041844026,663.0124512,0.03013199382,663.0124512,0.02274442464,663.0124512,0.02608675137,
661.994751,0.0002241526672,661.994751,0.03124118596,661.994751,0.02422348596,661.994751,0.02733936533,
661.0130615,0.0009176167659,661.0130615,0.03283187374,661.0130615,0.02571748942,661.0130615,0.0287278071,
659.9946899,-0.0003297138319,659.9946899,0.03258592263,659.9946899,0.0252567865,659.9946899,0.02804043144,
659.0125122,0.0006321032997,659.0125122,0.03502828628,659.0125122,0.02692998201,659.0125122,0.0303218998,
657.9935913,-0.0001207671376,657.9935913,0.03516395018,657.9935913,0.02808323316,657.9935913,0.03046257235,
657.0107422,-0.0006331232726,657.0107422,0.03594390675,657.0107422,0.02833545953,657.0107422,0.03167322651,
655.991272,0.0006175344461,655.991272,0.03731611371,655.991272,0.02971340157,655.991272,0.03392386436,
655.0078125,2.492890235E-005,655.0078125,0.03822927922,655.0078125,0.03045701794,655.0078125,0.03410213441,
653.9876709,-5.710069308E-005,653.9876709,0.03862014413,653.9876709,0.03011806495,653.9876709,0.03418776765,
653.0036621,0.0002721985802,653.0036621,0.03958548233,653.0036621,0.03067512251,653.0036621,0.03501722962,
651.9829102,0.0004334697151,651.9829102,0.04000811279,651.9829102,0.03107595816,651.9829102,0.0357096754,
650.998291,0.0002505966986,650.998291,0.04071593285,650.998291,0.03153090924,650.998291,0.03576119617,
650.0134277,0.0005276434822,650.0134277,0.04035288841,650.0134277,0.03183843195,650.0134277,0.03644905612,
648.9918213,-0.0001973615435,648.9918213,0.03992487118,648.9918213,0.0311341323,648.9918213,0.03663453832,
648.0063477,-0.0001800772297,648.0063477,0.04031121731,648.0063477,0.03123645671,648.0063477,0.03561699763,
646.9840698,6.285568088E-005,646.9840698,0.04144557938,646.9840698,0.03107787669,646.9840698,0.03645992652,
645.9981079,0.0001525728148,645.9981079,0.04031581804,645.9981079,0.03116867319,645.9981079,0.03637527674,
645.0117188,-0.0006910711527,645.0117188,0.0394991748,645.0117188,0.03075972386,645.0117188,0.03545714915,
643.9885864,-0.0007595028146,643.9885864,0.03968979046,643.9885864,0.03078623116,643.9885864,0.03497598693,
643.001709,-0.0009865835309,643.001709,0.03999746963,643.001709,0.03060787171,643.001709,0.03564591333,
642.0144653,0.001353821484,642.0144653,0.04063676298,642.0144653,0.03131554648,642.0144653,0.03646476567,
640.9904785,-0.000167967446,640.9904785,0.03963301331,640.9904785,0.03102607653,640.9904785,0.03518362716,
640.0026855,0.0002753068693,640.0026855,0.03988971189,640.0026855,0.03079709597,640.0026855,0.03556055203,
639.0146484,-0.0002064691653,639.0146484,0.03941526636,639.0146484,0.02875355631,639.0146484,0.03397335112,
637.9898071,-0.0005853013135,637.9898071,0.03780639917,637.9898071,0.02816409804,637.9898071,0.03386623785,
637.0011597,0.000930794864,637.0011597,0.03814581037,637.0011597,0.02925746888,637.0011597,0.03404694796,
636.0122681,-0.0001447819668,636.0122681,0.03853289783,636.0122681,0.02886503004,636.0122681,0.03300179169,
634.9864502,0.0007823310443,634.9864502,0.03866708651,634.9864502,0.0290631298,634.9864502,0.03434785083,
633.9970093,-0.0008057553205,633.9970093,0.03664400056,633.9970093,0.02750676125,633.9970093,0.03224421665,
633.0072632,0.0004523080133,633.0072632,0.03759859875,633.0072632,0.02843944915,633.0072632,0.03268805891,
632.0172729,0.001022092649,632.0172729,0.03757237643,632.0172729,0.02809922211,632.0172729,0.03344115242,
630.9902954,0.0002019316016,630.9902954,0.03699431568,630.9902954,0.02747124247,630.9902954,0.03161294758,
629.9996948,-2.044943358E-005,629.9996948,0.03573404253,629.9996948,0.02714364976,629.9996948,0.03211589903,
629.0088501,0.0005000163219,629.0088501,0.03646701947,629.0088501,0.02774585038,629.0088501,0.03175537661,
628.0177002,-0.0002139724675,628.0177002,0.03577921167,628.0177002,0.02644799091,628.0177002,0.03152108565,
626.989624,-0.0002939133556,626.989624,0.03554083034,626.989624,0.026635658,626.989624,0.03101979382,
625.9978638,0.001010131207,625.9978638,0.03681916371,625.9978638,0.02672335692,625.9978638,0.03134245053,
625.0059204,0.0008834541659,625.0059204,0.03663453832,625.0059204,0.02614241838,625.0059204,0.03059445694,
624.0137329,-0.000114659706,624.0137329,0.036522571,624.0137329,0.02631812915,624.0137329,0.03089519963,
622.984375,0.0001327117498,622.984375,0.03582241759,622.984375,0.02648818679,622.984375,0.0311142765,
621.9915771,0.000441528362,621.9915771,0.03514809161,621.9915771,0.0265892297,621.9915771,0.03103283234,
620.9985352,0.0004553916515,620.9985352,0.03614284098,620.9985352,0.02646202035,620.9985352,0.03133290634,
620.005127,0.0002580044093,620.005127,0.03567067161,620.005127,0.02645200677,620.005127,0.03167879581,
619.0115356,-0.0003280066303,619.0115356,0.03616146371,619.0115356,0.02594191022,619.0115356,0.0315345563,
618.0177002,2.57831889E-005,618.0177002,0.03571071848,618.0177002,0.02579909563,618.0177002,0.03181138635,
616.9866333,-0.0006452717353,616.9866333,0.0359274298,616.9866333,0.02566616051,616.9866333,0.03089025244,
615.9921875,7.351677141E-006,615.9921875,0.03725597635,615.9921875,0.02679232135,615.9921875,0.03219841048,
614.9974976,0.000350948394,614.9974976,0.03713944927,614.9974976,0.02706046775,614.9974976,0.03271351382,
614.0025024,-0.0005123433657,614.0025024,0.03790776432,614.0025024,0.02699291892,614.0025024,0.03353907168,
613.0072021,-7.599455421E-005,613.0072021,0.03855156898,613.0072021,0.02758255415,613.0072021,0.03358812258,
612.0117798,-0.0001094320833,612.0117798,0.03838859871,612.0117798,0.02795194276,612.0117798,0.03446015716,
611.0159302,0.0002579007996,611.0159302,0.03968859836,611.0159302,0.02830401622,611.0159302,0.03532032296,
609.9829712,-0.0004009955446,609.9829712,0.04031482339,609.9829712,0.02888315171,609.9829712,0.0354825668,
608.9866333,-0.0004536992637,608.9866333,0.04055669531,608.9866333,0.02878699452,608.9866333,0.03594196588,
607.9899902,9.270754526E-005,607.9899902,0.04162921757,607.9899902,0.02916648984,607.9899902,0.03649832681,
