User: Dixonlab,Path: C:\Program Files (x86)\BMG\CLARIOstar\Dixonlab\Data\,Test run no.: 8334
Test name: scan,Date: 02/03/2022,Time: 10:00:28

ID1: 2022-03-02-00.1-prot-30deg-mtrx,
Absorbance

Well,Content,Well Scan: Average (450),
G11,Sample X155,0.3,
G12,Sample X156,0.3,
G13,Sample X157,0.3,
G14,Sample X158,0.5,
G15,Sample X159,0.3,
G16,Sample X160,0.3,
G17,Sample X161,0.5,
G18,Sample X162,0.4,
G19,Sample X163,0.4,
G20,Sample X164,0.5,
G21,Sample X165,0.3,
G22,Sample X166,0.3,
G23,Sample X167,0.3,
G24,Sample X168,1,
H01,Sample X169,0.3,
H02,Sample X170,0.3,
H03,Sample X171,0.6,
H04,Sample X172,0.3,
H05,Sample X173,0.3,
H06,Sample X174,0.3,
H07,Sample X175,0.3,
H08,Sample X176,0.5,
H09,Sample X177,0.3,
H10,Sample X178,2.3,
H11,Sample X179,0.4,
H12,Sample X180,0.3,
H13,Sample X181,0.3,
H14,Sample X182,0.6,
H15,Sample X183,0.7,
H16,Sample X184,0.3,
H17,Sample X185,0.3,
H18,Sample X186,0.4,
H19,Sample X187,0.4,
H20,Sample X188,0.3,
H21,Sample X189,0.3,
H22,Sample X190,0.4,
H23,Sample X191,0.3,
H24,Sample X192,0.3,
I01,Sample X193,0.4,
I02,Sample X194,0.3,
I03,Sample X195,0.5,
I04,Sample X196,0.5,
I05,Sample X197,0.4,
I06,Sample X198,0.3,
I07,Sample X199,0.3,
I08,Sample X200,0.3,
I09,Sample X201,0.3,
I10,Sample X202,0.3,
I11,Sample X203,0.3,
I12,Sample X204,0.3,
I13,Sample X205,0.3,
I14,Sample X206,0.3,
I15,Sample X207,0.8,
I16,Sample X208,0.3,
I17,Sample X209,0.4,
I18,Sample X210,0.3,
I19,Sample X211,0.4,
I20,Sample X212,0.4,
I21,Sample X213,0.3,
I22,Sample X214,0.3,
I23,Sample X215,0.3,
I24,Sample X216,0.7,
J01,Sample X217,0.5,
J02,Sample X218,0.3,
J03,Sample X219,0.3,
J04,Sample X220,0.3,
J05,Sample X221,0.3,
J06,Sample X222,0.3,
J07,Sample X223,0.3,
J08,Sample X224,0.4,
J09,Sample X225,0.3,
J10,Sample X226,0.3,
J11,Sample X227,0.3,
J12,Sample X228,0.3,
J13,Sample X229,0.3,
J14,Sample X230,0.3,
J15,Sample X231,0.3,
J16,Sample X232,0.4,
J17,Sample X233,0.3,
J18,Sample X234,0.5,
J19,Sample X235,0.3,
J20,Sample X236,0.3,
J21,Sample X237,0.3,
J22,Sample X238,0.3,
J23,Sample X239,0.3,
J24,Sample X240,0.3,
K01,Sample X241,0.5,
K02,Sample X242,0.3,
K03,Sample X243,0.6,
K04,Sample X244,0.3,
K05,Sample X245,0.6,
K06,Sample X246,0.3,
K07,Sample X247,0.3,
K08,Sample X248,0.6,
K09,Sample X249,0.3,
K10,Sample X250,0.7,
K11,Sample X251,1.1,
K12,Sample X252,0.4,
K13,Sample X253,0.3,
K14,Sample X254,0.3,
K15,Sample X255,0.3,
K16,Sample X256,0.3,
K17,Sample X257,0.3,
K18,Sample X258,0.3,
K19,Sample X259,0.5,
K20,Sample X260,0.3,
K21,Sample X261,0.3,
K22,Sample X262,0.3,
K23,Sample X263,0.3,
K24,Sample X264,0.6,
L01,Sample X265,0.3,
L02,Sample X266,0.3,
L03,Sample X267,0.3,
L04,Sample X268,0.4,
L05,Sample X269,0.3,
L06,Sample X270,0.3,
L07,Sample X271,0.3,
L08,Sample X272,0.3,
L09,Sample X273,0.3,
L10,Sample X274,0.7,
L11,Sample X275,0.3,
L12,Sample X276,0.3,
L13,Sample X277,0.3,
L14,Sample X278,0.3,
L15,Sample X279,0.3,
L16,Sample X280,0.3,
L17,Sample X281,0.5,
L18,Sample X282,0.3,
L19,Sample X283,0.3,
L20,Sample X284,0.5,
L21,Sample X285,0.3,
L22,Sample X286,0.3,
L23,Sample X287,0.3,
L24,Sample X288,0.3,
M01,Sample X289,0.4,
M02,Sample X290,0.3,
M03,Sample X291,2.3,
M04,Sample X292,0.3,
M05,Sample X293,0.4,
M06,Sample X294,0.3,
M07,Sample X295,0.5,
M08,Sample X296,0.3,
M09,Sample X297,0.3,
M10,Sample X298,0.3,
M11,Sample X299,0.3,
M12,Sample X300,0.3,
M13,Sample X301,0.9,
M14,Sample X302,0.3,
M15,Sample X303,0.3,
M16,Sample X304,0.3,
M17,Sample X305,0.3,
M18,Sample X306,0.5,
M19,Sample X307,0.3,
M20,Sample X308,0.3,
M21,Sample X309,0.3,
M22,Sample X310,0.3,
M23,Sample X311,0.3,
M24,Sample X312,0.4,
N01,Sample X313,0.3,
N02,Sample X314,0.3,
N03,Sample X315,0.5,
N04,Sample X316,0.3,
N05,Sample X317,0.3,
N06,Sample X318,1.1,
N07,Sample X319,0.3,
N08,Sample X320,0.3,
N09,Sample X321,0.3,
N10,Sample X322,0.3,
N11,Sample X323,0.3,
N12,Sample X324,2.5,
N13,Sample X325,0.3,
N14,Sample X326,0.3,
N15,Sample X327,0.5,
N16,Sample X328,0.3,
N17,Sample X329,0.3,
N18,Sample X330,0.5,
N19,Sample X331,0.3,
N20,Sample X332,1.7,
N21,Sample X333,0.3,
N22,Sample X334,0.4,
N23,Sample X335,0.3,
N24,Sample X336,0.3,
O01,Sample X337,0.3,
O02,Sample X338,0.3,
O03,Sample X339,0.4,
O04,Sample X340,0.3,
O05,Sample X341,0.3,
O06,Sample X342,0.3,
O07,Sample X343,0.4,
O08,Sample X344,0.3,
O09,Sample X345,0.3,
O10,Sample X346,0.3,
O11,Sample X347,0.3,
O12,Sample X348,0.3,
O13,Sample X349,0.3,
O14,Sample X350,0.3,
O15,Sample X351,0.3,
O16,Sample X352,0.3,
O17,Sample X353,0.3,
O18,Sample X354,0.3,
O19,Sample X355,0.2,
O20,Sample X356,0.3,
O21,Sample X357,0.3,
O22,Sample X358,0.3,
O23,Sample X359,0.3,
O24,Sample X360,0.3,
P01,Sample X361,0.3,
P02,Sample X362,0.3,
P03,Sample X363,0.2,
P04,Sample X364,0.3,
P05,Sample X365,0.3,
P06,Sample X366,0.3,
P07,Sample X367,0.3,
P08,Sample X368,1.4,
P09,Sample X369,0.3,
P10,Sample X370,0.4,
P11,Sample X371,0.3,
P12,Sample X372,1,
P13,Sample X373,0.4,
P14,Sample X374,0.3,
P15,Sample X375,0.3,
P16,Sample X376,0.3,
P17,Sample X377,0.3,
P18,Sample X378,0.3,
P19,Sample X379,0.3,
P20,Sample X380,0.3,
P21,Sample X381,0.4,
P22,Sample X382,0.3,
P23,Sample X383,0.3,
P24,Sample X384,0.3,
