blank,,m3-wt-heme-sample41-5in1005,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
766.4897461,-0.0004068403505,766.4897461,-0.002050600713,
766.2440186,-0.0005152908852,766.2440186,-0.00295176683,
765.998291,0.001029954641,765.998291,-0.002420517616,
765.7525635,-0.000341405248,765.7525635,-0.003730460303,
765.5068359,-0.0004184262361,765.5068359,-0.001126802759,
765.2610474,-0.0003055540146,765.2610474,-0.00214303215,
765.0151978,0.0004530594742,765.0151978,-0.0009431399521,
764.7342529,-0.0005415590713,764.7342529,-0.001667423639,
764.4884644,-0.0002147486666,764.4884644,-0.00146923284,
764.2425537,0.000341596111,764.2425537,-0.001352143241,
763.9966431,-0.0006136849406,763.9966431,-0.00229529012,
763.7506714,-0.0004747996572,763.7506714,-0.003063387936,
763.5047607,-0.0005142567097,763.5047607,-0.0008967471658,
763.2587891,-0.0005042246776,763.2587891,-0.004445092287,
763.0128174,0.0002000669483,763.0128174,-0.001750036492,
762.7667847,-0.0003338523966,762.7667847,-0.001201309729,
762.4855957,-0.0003721325193,762.4855957,-0.003856557654,
762.239563,-0.0007750586956,762.239563,-0.001516286749,
761.9934692,-8.956452803E-006,761.9934692,-0.002413773211,
761.7473145,0.000254533632,761.7473145,-0.002567016985,
761.5012207,6.78217657E-006,761.5012207,-0.001496372046,
761.2550659,-0.0006205090904,761.2550659,-0.004503404722,
761.0089111,-0.001492605661,761.0089111,-0.004236527253,
760.7626953,0.001033353736,760.7626953,-0.004211148247,
760.5165405,0.0001748690265,760.5165405,-0.001072424813,
760.2350464,0.0004034648591,760.2350464,-0.0006528708618,
759.9887695,0.0008221653989,759.9887695,-0.004048430361,
759.7424927,-0.0001118129876,759.7424927,-0.002076776233,
759.4962158,-9.095377027E-005,759.4962158,-0.0009069767548,
759.2498779,0.0008782405057,759.2498779,-0.00336956908,
759.003479,5.0894796E-005,759.003479,-0.002200727584,
758.7571411,0.000599336985,758.7571411,-0.001111001358,
758.5107422,-0.0004922790686,758.5107422,-0.003494179342,
758.2642822,0.0007840425824,758.2642822,-0.0006649671122,
757.982605,0.001405186718,757.982605,0.0004131034948,
757.736145,-0.0003954092972,757.736145,-0.001817115815,
757.489624,0.0009825252928,757.489624,-0.001827117521,
757.2431641,-3.401283175E-005,757.2431641,-0.001700223074,
756.9966431,-0.0009416418616,756.9966431,-0.0009280550876,
756.750061,-3.701535752E-005,756.750061,-0.00614401279,
756.503479,-0.0001878397306,756.503479,-0.001424289425,
756.2568359,-0.0006147705717,756.2568359,-0.003569975728,
756.0102539,-0.001433938975,756.0102539,-0.002744901227,
755.7635498,-0.0003474577679,755.7635498,-0.005614612252,
755.5168457,0.0006187009858,755.5168457,-0.00355559797,
755.2349243,-0.0001341203752,755.2349243,-0.002713878406,
754.9882202,-0.001014631009,754.9882202,-0.001833613263,
754.7414551,0.0007189562893,754.7414551,-0.0009565712535,
754.4946899,0.0006173011498,754.4946899,-0.001043606317,
754.2479248,1.030273779E-005,754.2479248,-0.002666799584,
754.0011597,7.693991211E-005,754.0011597,-0.00063379528,
753.7542725,0.0002295138547,753.7542725,-0.004421621561,
753.5074463,0.0001141203393,753.5074463,-0.002334015444,
753.2605591,0.0006151495618,753.2605591,-0.003209054004,
753.0136108,0.0006235226174,753.0136108,-0.001009775791,
752.7666626,-0.0003315244685,752.7666626,-0.003597086761,
752.4844971,0.0002228835947,752.4844971,-0.002356981393,
752.2375488,-4.198501119E-005,752.2375488,-0.0007017190801,
751.9905396,-4.659224214E-005,751.9905396,-0.003744575428,
751.7434692,-0.000191203435,751.7434692,-0.002435447881,
751.49646,-0.0005483843852,751.49646,-0.002179401694,
751.2493896,0.0004390148679,751.2493896,-0.001440492226,
751.0023804,-0.0004659562255,751.0023804,-0.002852101112,
750.755188,0.000254274637,750.755188,-0.003152828896,
750.5080566,0.0005830844166,750.5080566,8.105653251E-005,
750.2609253,0.0004828345263,750.2609253,-0.000400736928,
750.0137329,0.001071031322,750.0137329,-0.001860059565,
749.7665405,0.0008134513046,749.7665405,-0.003637236543,
749.4840698,-0.0001191626507,749.4840698,-0.00357264583,
749.2367554,-0.00012501124,749.2367554,-0.002579368884,
748.989563,0.0009661545628,748.989563,-0.001566482475,
748.7422485,3.419670975E-005,748.7422485,-0.002496964997,
748.4949341,-0.0001030139392,748.4949341,-0.003309151623,
748.2476196,-0.0005251675029,748.2476196,-0.003251192393,
748.0003052,-2.065651097E-005,748.0003052,-0.002176104812,
747.7529297,-5.373594468E-005,747.7529297,-0.002846391872,
747.5054932,0.001286910148,747.5054932,-0.003869796405,
747.2580566,0.0006770832115,747.2580566,-0.001567668864,
747.0106201,-0.0009048585198,747.0106201,-0.002900959691,
746.7631226,1.643790165E-005,746.7631226,-0.001100983121,
746.515686,0.0006183121004,746.515686,-0.002368824324,
746.2328491,0.0002961587743,746.2328491,-0.001171880169,
