blank,,bm3-wt-44-49-post-lipidex-post-dil,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
737.9871216,-0.001011376968,737.9871216,0.008303389885,
736.9940796,0.002338819206,736.9940796,0.008432514034,
736.0006714,-0.0002250460675,736.0006714,0.01008331403,
735.007019,-0.0001597388182,735.007019,0.007969554514,
734.0129395,0.001596860704,734.0129395,0.009772968479,
732.9830322,0.0003598863841,732.9830322,0.005903922953,
731.9882202,-0.002639527665,731.9882202,0.004571624566,
730.993103,-0.0004368906375,730.993103,0.0100695109,
729.9976807,-0.002031792421,729.9976807,0.006348371971,
729.0018921,-0.001517318655,729.0018921,0.007481120992,
728.0057373,0.0009621332865,728.0057373,0.007351278793,
727.0092773,-0.001167336595,727.0092773,0.005295548588,
726.0124512,0.002297258005,726.0124512,0.009126292542,
725.0152588,0.00214021001,725.0152588,0.00844974909,
724.0177612,0.001757740858,724.0177612,0.008743355982,
722.9842529,0.001519728918,722.9842529,0.008586151525,
721.9860229,-0.000401512807,721.9860229,0.01034791116,
720.9874878,-0.001744776964,720.9874878,0.00782723166,
719.9885254,0.0005269437097,719.9885254,0.009209731594,
718.9894409,3.709617522E-005,718.9894409,0.006867142394,
717.9898071,-0.001024186378,717.9898071,0.009112281725,
716.9898682,-0.0002082285791,716.9898682,0.006473105866,
715.989624,0.0005922345445,715.989624,0.009352720343,
714.9890137,-0.0006756673683,714.9890137,0.006527813617,
713.9880981,-0.0003092789557,713.9880981,0.009234665893,
712.9868164,0.001147486386,712.9868164,0.01119347941,
711.9852905,0.002725395607,711.9852905,0.01157573983,
710.9832764,0.002074790187,710.9832764,0.0112556126,
710.0167847,0.0004600042012,710.0167847,0.01116110198,
709.0142212,0.0001606262522,709.0142212,0.00698124012,
708.0112915,-0.00141350436,708.0112915,0.006767771672,
707.0079956,-0.0006420149584,707.0079956,0.007622171659,
706.0043945,-0.003044778015,706.0043945,0.006940863561,
705.0004272,0.001865096739,705.0004272,0.01013784204,
703.9962158,-0.0006264543626,703.9962158,0.008758173324,
702.9915771,0.0007955828332,702.9915771,0.01018556673,
701.9866943,0.001382827293,701.9866943,0.008551458828,
701.0172729,-0.0002703724313,701.0172729,0.01010400616,
700.0117188,-0.0008907539304,700.0117188,0.01038688235,
699.0057373,-0.00136050419,699.0057373,0.008602389134,
697.9995728,-0.001787212444,697.9995728,0.007883243263,
696.992981,0.00273907138,696.992981,0.01177913789,
695.9860229,0.000459356379,695.9860229,0.009617692791,
695.0147705,0.0009102756158,695.0147705,0.007029250264,
694.0072632,-0.00185706967,694.0072632,0.01120678708,
692.9993286,-0.0007422408671,692.9993286,0.009413531981,
691.9911499,-0.0002213203989,691.9911499,0.0135849854,
690.982605,-0.0009773373604,690.982605,0.01092388108,
690.0097656,0.002651474904,690.0097656,0.01348780375,
689.0006104,-0.004119514953,689.0006104,0.007619194686,
687.9911499,-0.001775869168,687.9911499,0.007930694148,
687.017334,-0.004106078297,687.017334,0.007707878016,
686.0071411,0.0008398015634,686.0071411,0.01200022083,
684.9967041,-0.0006082048058,684.9967041,0.00980050303,
683.9859619,0.0003092662082,683.9859619,0.008338114247,
683.0109253,-0.0009498040308,683.0109253,0.009675259702,
681.9994507,-0.002098725177,681.9994507,0.007453337777,
680.9877319,-0.0007762989844,680.9877319,0.006350656971,
680.0118408,0.001882177312,680.0118408,0.009133906104,
678.9994507,-0.0006203023368,678.9994507,0.008043885231,
677.9866943,0.001061585615,677.9866943,0.006360061001,
677.0098877,-0.0002024328569,677.0098877,0.01056142338,
675.996582,0.0005976002431,675.996582,0.00895674061,
674.9829102,0.0001408425014,674.9829102,0.009901868179,
674.005127,0.001876847702,674.005127,0.008721962571,
672.9909058,0.0003467256029,672.9909058,0.01250466239,
672.0125122,-0.0007607432199,672.0125122,0.01016100124,
670.9976196,0.002030913718,670.9976196,0.01149766613,
669.9823608,0.001721536973,669.9823608,0.01347242389,
669.0031738,-0.00106519449,669.0031738,0.006663271226,
667.9873047,-6.15007084E-005,667.9873047,0.009553888813,
667.0074463,-0.003058092901,667.0074463,0.007907231338,
665.9910278,-0.0009170511039,665.9910278,0.008018781431,
665.010498,-0.002031122567,665.010498,0.009711418301,
663.9934082,0.003420050489,663.9934082,0.01172078587,
663.0124512,-0.0002467267332,663.0124512,0.01137307473,
661.994751,-0.0002910678159,661.994751,0.0120253684,
661.0130615,0.003942594398,661.0130615,0.01354025118,
659.9946899,-0.0007813635748,659.9946899,0.01137809735,
659.0125122,0.0005671434337,659.0125122,0.01356431376,
657.9935913,0.001332659042,657.9935913,0.01170113403,
657.0107422,0.002742275596,657.0107422,0.01280374359,
655.991272,-0.002947344678,655.991272,0.009389830753,
655.0078125,-0.003227451583,655.0078125,0.01167214848,
653.9876709,-0.002070335438,653.9876709,0.01232430618,
653.0036621,0.002605456859,653.0036621,0.01465322264,
651.9829102,-0.001073509338,651.9829102,0.01292551961,
650.998291,0.0005826437264,650.998291,0.01343162544,
650.0134277,0.001794883516,650.0134277,0.01322006062,
