,SrcWell,Destination Well,Volume,Plate
409,B9,I13,1220.0,A
410,E6,I14,547.5,B
411,B9,I14,952.5,A
412,E6,I15,945.0,B
413,B9,I15,555.0,A
414,E6,I16,1500.0,B
417,B9,I17,1500.0,A
418,E10,I18,5.0,B
419,B9,I18,1495.0,A
420,E10,I19,35.0,B
421,B9,I19,1465.0,A
422,E10,I20,117.5,B
423,B9,I20,1382.5,A
424,E10,I21,280.0,B
425,B9,I21,1220.0,A
426,E10,I22,547.5,B
427,B9,I22,952.5,A
428,E10,I23,945.0,B
429,B9,I23,555.0,A
430,E10,I24,1500.0,B
433,B9,J1,1500.0,A
434,E14,J2,5.0,B
435,B9,J2,1495.0,A
436,E14,J3,35.0,B
437,B9,J3,1465.0,A
438,E14,J4,117.5,B
439,B9,J4,1382.5,A
440,E14,J5,280.0,B
441,B9,J5,1220.0,A
442,E14,J6,547.5,B
443,B9,J6,952.5,A
444,E14,J7,945.0,B
445,B9,J7,555.0,A
446,E14,J8,1500.0,B
449,B9,J9,1500.0,A
450,E18,J10,5.0,B
451,B9,J10,1495.0,A
452,E18,J11,35.0,B
453,B9,J11,1465.0,A
454,E18,J12,117.5,B
455,B9,J12,1382.5,A
456,E18,J13,280.0,B
457,B9,J13,1220.0,A
458,E18,J14,547.5,B
459,B9,J14,952.5,A
460,E18,J15,945.0,B
461,B9,J15,555.0,A
462,E18,J16,1500.0,B
465,B9,J17,1500.0,A
466,E22,J18,5.0,B
467,B9,J18,890.0,A
468,E22,J19,35.0,B
469,B10,J19,1465.0,A
470,E22,J20,117.5,B
471,B10,J20,1382.5,A
472,E22,J21,280.0,B
473,B10,J21,1220.0,A
474,E22,J22,547.5,B
475,B10,J22,952.5,A
476,E22,J23,945.0,B
477,B10,J23,555.0,A
478,E22,J24,1500.0,B
481,B10,K1,1500.0,A
482,F2,K2,5.0,B
483,B10,K2,1495.0,A
484,F2,K3,35.0,B
485,B10,K3,1465.0,A
486,F2,K4,117.5,B
487,B10,K4,1382.5,A
488,F2,K5,280.0,B
489,B10,K5,1220.0,A
490,F2,K6,547.5,B
491,B10,K6,952.5,A
492,F2,K7,945.0,B
493,B10,K7,555.0,A
494,F2,K8,1500.0,B
497,B10,K9,1500.0,A
498,F6,K10,5.0,B
499,B10,K10,1495.0,A
500,F6,K11,35.0,B
501,B10,K11,1465.0,A
502,F6,K12,117.5,B
503,B10,K12,1382.5,A
504,F6,K13,280.0,B
505,B10,K13,1220.0,A
506,F6,K14,547.5,B
507,B10,K14,952.5,A
508,F6,K15,945.0,B
509,B10,K15,555.0,A
510,F6,K16,1500.0,B
513,B10,K17,1500.0,A
514,F10,K18,5.0,B
515,B10,K18,1495.0,A
516,F10,K19,35.0,B
517,B10,K19,1465.0,A
518,F10,K20,117.5,B
519,B10,K20,1382.5,A
520,F10,K21,280.0,B
521,B10,K21,1220.0,A
522,F10,K22,547.5,B
523,B10,K22,952.5,A
524,F10,K23,945.0,B
525,B10,K23,555.0,A
526,F10,K24,1500.0,B
529,B10,L1,1500.0,A
530,F14,L2,5.0,B
531,B10,L2,1495.0,A
532,F14,L3,35.0,B
533,B10,L3,1465.0,A
534,F14,L4,117.5,B
535,B10,L4,1382.5,A
536,F14,L5,280.0,B
537,B10,L5,1220.0,A
538,F14,L6,547.5,B
539,B10,L6,952.5,A
540,F14,L7,945.0,B
541,B10,L7,555.0,A
