,SrcWell,Destination Well,Volume,Plate
435,C13,J2,1495.0,A
436,E15,J3,35.0,B
437,C13,J3,1465.0,A
438,E15,J4,117.5,B
439,C13,J4,1382.5,A
440,E15,J5,280.0,B
441,C13,J5,1220.0,A
442,E15,J6,547.5,B
443,C13,J6,952.5,A
444,E15,J7,945.0,B
445,C13,J7,555.0,A
446,E15,J8,1500.0,B
449,C13,J9,1500.0,A
450,E19,J10,5.0,B
451,C13,J10,1495.0,A
452,E19,J11,35.0,B
453,C13,J11,1465.0,A
454,E19,J12,117.5,B
455,C13,J12,1382.5,A
456,E19,J13,280.0,B
457,C13,J13,1220.0,A
458,E19,J14,547.5,B
459,C13,J14,952.5,A
460,E19,J15,945.0,B
461,C13,J15,555.0,A
462,E19,J16,1500.0,B
465,C13,J17,1500.0,A
466,E23,J18,5.0,B
467,C13,J18,1495.0,A
468,E23,J19,35.0,B
469,C13,J19,1465.0,A
470,E23,J20,117.5,B
471,C13,J20,1382.5,A
472,E23,J21,280.0,B
473,C13,J21,1220.0,A
474,E23,J22,547.5,B
475,C13,J22,952.5,A
476,E23,J23,945.0,B
477,C13,J23,555.0,A
478,E23,J24,1500.0,B
481,C13,K1,1500.0,A
482,F3,K2,5.0,B
483,C13,K2,1495.0,A
484,F3,K3,35.0,B
485,C13,K3,1465.0,A
486,F3,K4,117.5,B
487,C13,K4,1382.5,A
488,F3,K5,280.0,B
489,C13,K5,1220.0,A
490,F3,K6,547.5,B
491,C13,K6,952.5,A
492,F3,K7,945.0,B
493,C13,K7,555.0,A
494,F3,K8,1500.0,B
497,C13,K9,1500.0,A
498,F7,K10,5.0,B
499,C13,K10,1495.0,A
500,F7,K11,35.0,B
501,C13,K11,1465.0,A
502,F7,K12,117.5,B
503,C13,K12,1382.5,A
504,F7,K13,280.0,B
505,C13,K13,1220.0,A
506,F7,K14,547.5,B
507,C13,K14,952.5,A
508,F7,K15,945.0,B
509,C13,K15,555.0,A
510,F7,K16,1500.0,B
513,C13,K17,1500.0,A
514,F11,K18,5.0,B
515,C13,K18,1100.0,A
516,F11,K19,35.0,B
517,C14,K19,1465.0,A
518,F11,K20,117.5,B
519,C14,K20,1382.5,A
520,F11,K21,280.0,B
521,C14,K21,1220.0,A
522,F11,K22,547.5,B
523,C14,K22,952.5,A
524,F11,K23,945.0,B
525,C14,K23,555.0,A
526,F11,K24,1500.0,B
529,C14,L1,1500.0,A
530,F15,L2,5.0,B
531,C14,L2,1495.0,A
532,F15,L3,35.0,B
533,C14,L3,1465.0,A
534,F15,L4,117.5,B
535,C14,L4,1382.5,A
536,F15,L5,280.0,B
537,C14,L5,1220.0,A
538,F15,L6,547.5,B
539,C14,L6,952.5,A
540,F15,L7,945.0,B
541,C14,L7,555.0,A
542,F15,L8,1500.0,B
545,C14,L9,1500.0,A
546,F19,L10,5.0,B
547,C14,L10,1495.0,A
548,F19,L11,35.0,B
549,C14,L11,1465.0,A
550,F19,L12,117.5,B
551,C14,L12,1382.5,A
552,F19,L13,280.0,B
553,C14,L13,1220.0,A
554,F19,L14,547.5,B
555,C14,L14,952.5,A
556,F19,L15,945.0,B
557,C14,L15,555.0,A
558,F19,L16,1500.0,B
561,C14,L17,1500.0,A
562,F23,L18,5.0,B
563,C14,L18,1495.0,A
564,F23,L19,35.0,B
565,C14,L19,1465.0,A
566,F23,L20,117.5,B
567,C14,L20,1382.5,A
568,F23,L21,280.0,B
569,C14,L21,1220.0,A
570,F23,L22,547.5,B
571,C14,L22,952.5,A
572,F23,L23,945.0,B
573,C14,L23,555.0,A
574,F23,L24,1500.0,B
577,C14,M1,1500.0,A
578,G3,M2,5.0,B
579,C14,M2,1495.0,A
580,G3,M3,35.0,B
581,C14,M3,1465.0,A
582,G3,M4,117.5,B
583,C14,M4,1382.5,A
584,G3,M5,280.0,B
585,C14,M5,1220.0,A
586,G3,M6,547.5,B
587,C14,M6,952.5,A
588,G3,M7,945.0,B
589,C14,M7,555.0,A
590,G3,M8,1500.0,B
593,C14,M9,1500.0,A
594,G7,M10,5.0,B
595,C14,M10,1495.0,A
596,G7,M11,35.0,B
597,C14,M11,1465.0,A
598,G7,M12,117.5,B
599,C14,M12,290.0,A
600,G7,M13,280.0,B
601,C15,M13,1220.0,A
602,G7,M14,547.5,B
603,C15,M14,952.5,A
604,G7,M15,945.0,B
605,C15,M15,555.0,A
606,G7,M16,1500.0,B
609,C15,M17,1500.0,A
610,G11,M18,5.0,B
611,C15,M18,1495.0,A
612,G11,M19,35.0,B
613,C15,M19,1465.0,A
614,G11,M20,117.5,B
615,C15,M20,1382.5,A
616,G11,M21,280.0,B
617,C15,M21,1220.0,A
618,G11,M22,547.5,B
619,C15,M22,952.5,A
620,G11,M23,945.0,B
621,C15,M23,555.0,A
622,G11,M24,1500.0,B
625,C15,N1,1500.0,A
626,G15,N2,5.0,B
627,C15,N2,1495.0,A
628,G15,N3,35.0,B
629,C15,N3,1465.0,A
630,G15,N4,117.5,B
631,C15,N4,1382.5,A
632,G15,N5,280.0,B
633,C15,N5,1220.0,A
634,G15,N6,547.5,B
635,C15,N6,952.5,A
636,G15,N7,945.0,B
637,C15,N7,555.0,A
638,G15,N8,1500.0,B
641,C15,N9,1500.0,A
642,G19,N10,5.0,B
643,C15,N10,1495.0,A
644,G19,N11,35.0,B
645,C15,N11,1465.0,A
646,G19,N12,117.5,B
647,C15,N12,1382.5,A
648,G19,N13,280.0,B
649,C15,N13,1220.0,A
650,G19,N14,547.5,B
651,C15,N14,952.5,A
652,G19,N15,945.0,B
653,C15,N15,555.0,A
654,G19,N16,1500.0,B
657,C15,N17,1500.0,A
658,G23,N18,5.0,B
659,C15,N18,1495.0,A
660,G23,N19,35.0,B
661,C15,N19,1465.0,A
662,G23,N20,117.5,B
663,C15,N20,1382.5,A
664,G23,N21,280.0,B
665,C15,N21,1220.0,A
666,G23,N22,547.5,B
667,C15,N22,952.5,A
668,G23,N23,945.0,B
669,C15,N23,555.0,A
670,G23,N24,1500.0,B
673,C15,O1,1500.0,A
674,H3,O2,5.0,B
675,C15,O2,1495.0,A
676,H3,O3,35.0,B
677,C15,O3,1465.0,A
678,H3,O4,117.5,B
679,C15,O4,1382.5,A
680,H3,O5,280.0,B
681,C15,O5,1057.5,A
682,H3,O6,547.5,B
683,C16,O6,952.5,A
684,H3,O7,945.0,B
685,C16,O7,555.0,A
686,H3,O8,1500.0,B
689,C16,O9,1500.0,A
690,H7,O10,5.0,B
691,C16,O10,1495.0,A
692,H7,O11,35.0,B
693,C16,O11,1465.0,A
694,H7,O12,117.5,B
695,C16,O12,1382.5,A
696,H7,O13,280.0,B
697,C16,O13,1220.0,A
698,H7,O14,547.5,B
699,C16,O14,952.5,A
700,H7,O15,945.0,B
701,C16,O15,555.0,A
702,H7,O16,1500.0,B
705,C16,O17,1500.0,A
706,H11,O18,5.0,B
707,C16,O18,1495.0,A
708,H11,O19,35.0,B
709,C16,O19,1465.0,A
710,H11,O20,117.5,B
711,C16,O20,1382.5,A
712,H11,O21,280.0,B
713,C16,O21,1220.0,A
714,H11,O22,547.5,B
715,C16,O22,952.5,A
716,H11,O23,945.0,B
717,C16,O23,555.0,A
718,H11,O24,1500.0,B
721,C16,P1,1500.0,A
722,H15,P2,5.0,B
723,C16,P2,1495.0,A
724,H15,P3,35.0,B
725,C16,P3,1465.0,A
726,H15,P4,117.5,B
727,C16,P4,1382.5,A
728,H15,P5,280.0,B
729,C16,P5,1220.0,A
730,H15,P6,547.5,B
731,C16,P6,952.5,A
732,H15,P7,945.0,B
733,C16,P7,555.0,A
734,H15,P8,1500.0,B
737,C16,P9,1500.0,A
738,H19,P10,5.0,B
739,C16,P10,1495.0,A
740,H19,P11,35.0,B
741,C16,P11,1465.0,A
742,H19,P12,117.5,B
743,C16,P12,1382.5,A
744,H19,P13,280.0,B
745,C16,P13,1220.0,A
746,H19,P14,547.5,B
747,C16,P14,952.5,A
748,H19,P15,945.0,B
749,C16,P15,555.0,A
750,H19,P16,1500.0,B
753,C16,P17,1500.0,A
754,H23,P18,5.0,B
755,C16,P18,1495.0,A
756,H23,P19,35.0,B
757,C16,P19,1465.0,A
758,H23,P20,117.5,B
759,C16,P20,1382.5,A
760,H23,P21,280.0,B
761,C16,P21,1220.0,A
762,H23,P22,547.5,B
763,C16,P22,952.5,A
764,H23,P23,945.0,B
765,C16,P23,555.0,A
766,H23,P24,1500.0,B
