Run ID,1646729444
Run Date/Time,2022-03-08 08:49:55
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,2022-03-08-00.2-echo-protocol-test.epr
User Name,Lab

[EXCEPTIONS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384LDV_DMSO,G16,Destination[1],,384PP_Dest,M11,0,0,,,1500,1500,6.896,92.462,Percent,DMSO,
Source[1],,384LDV_DMSO,G16,Destination[1],,384PP_Dest,M10,0,0,,,667.5,667.5,6.229,92.462,Percent,DMSO,
Source[1],,384LDV_DMSO,G16,Destination[1],,384PP_Dest,M9,0,0,,,167.5,167.5,6.061,92.462,Percent,DMSO,
Source[1],,384LDV_DMSO,E16,Destination[1],,384PP_Dest,M6,0,0,,,1500,1500,6.914,91.084,Percent,DMSO,
Source[1],,384LDV_DMSO,E16,Destination[1],,384PP_Dest,M5,0,0,,,667.5,667.5,6.247,91.084,Percent,DMSO,
Source[1],,384LDV_DMSO,E16,Destination[1],,384PP_Dest,M4,0,0,,,167.5,167.5,6.079,91.084,Percent,DMSO,
Source[1],,384LDV_DMSO,C16,Destination[1],,384PP_Dest,M1,0,0,,,1500,1500,6.127,81.391,Percent,DMSO,
Source[1],,384LDV_DMSO,O16,Destination[1],,384PP_Dest,N5,0,0,,,167.5,167.5,7.812,89.326,Percent,DMSO,
Source[1],,384LDV_DMSO,O16,Destination[1],,384PP_Dest,N6,0,0,,,667.5,667.5,7.145,89.326,Percent,DMSO,
Source[1],,384LDV_DMSO,O16,Destination[1],,384PP_Dest,N7,0,0,,,1500,1500,5.645,89.326,Percent,DMSO,
Source[1],,384LDV_DMSO,I16,Destination[1],,384PP_Dest,M14,0,0,,,167.5,167.5,8.165,90.933,Percent,DMSO,
