blank,,wt,,a82f,,dm,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
663.984436,-0.0001354142732,663.984436,0.01127115358,663.984436,0.02562304772,663.984436,0.02401707694,
661.9853516,-8.303424693E-005,661.9853516,0.01059866324,661.9853516,0.02504324913,661.9853516,0.02292504162,
659.9850464,0.0004798802547,659.9850464,0.011366033,659.9850464,0.02616795897,659.9850464,0.02369697206,
657.9836426,-0.0001233549992,657.9836426,0.01144525222,657.9836426,0.02593369409,657.9836426,0.02452004142,
656.0174561,0.0005654845736,656.0174561,0.01090479549,656.0174561,0.02665475942,656.0174561,0.02478593774,
654.0136108,0.0002194908157,654.0136108,0.01080937963,654.0136108,0.02609411813,654.0136108,0.02384371869,
652.0085449,-0.0005406800192,652.0085449,0.01122896746,652.0085449,0.02567659691,652.0085449,0.02331613377,
650.0023804,-0.0002444500569,650.0023804,0.01055290923,650.0023804,0.02531388402,650.0023804,0.02364927158,
647.9949951,0.0001046178004,647.9949951,0.01103814691,647.9949951,0.02681443095,647.9949951,0.02484565973,
645.9864502,-5.61171546E-005,645.9864502,0.0105424067,645.9864502,0.02552401274,645.9864502,0.02399218269,
644.0131836,0.0002482915006,644.0131836,0.01037325524,644.0131836,0.02616570517,644.0131836,0.02400287986,
642.0022583,0.000795919972,642.0022583,0.01093837526,642.0022583,0.02647792362,642.0022583,0.02458608337,
639.9902344,0.0002122132428,639.9902344,0.01092611067,639.9902344,0.02717801183,639.9902344,0.02470317855,
638.0136108,0.0009313396295,638.0136108,0.01179432496,638.0136108,0.02681558765,638.0136108,0.02481400222,
635.9991455,0.0006512354012,635.9991455,0.01107295882,635.9991455,0.02662393264,635.9991455,0.02557878569,
633.9835815,0.0002644539054,633.9835815,0.01154774614,633.9835815,0.02738747373,633.9835815,0.02506003343,
632.0036011,0.0004782476462,632.0036011,0.01197044365,632.0036011,0.02696730196,632.0036011,0.02562312968,
629.9857788,-8.764104859E-005,629.9857788,0.01125930529,629.9857788,0.02645800449,629.9857788,0.0248164963,
628.003418,0.0009214300662,628.003418,0.01182116382,628.003418,0.027448548,628.003418,0.02582324296,
625.9833984,8.178147255E-005,625.9833984,0.01201847661,625.9833984,0.02738502063,625.9833984,0.02655271068,
623.9988403,0.0002419717639,623.9988403,0.01209227834,623.9988403,0.02733564377,623.9988403,0.02556527779,
622.0132446,0.0007059661439,622.0132446,0.01253357064,622.0132446,0.02785118856,622.0132446,0.02606569603,
619.9897461,4.535458356E-005,619.9897461,0.01107585337,619.9897461,0.02693612315,619.9897461,0.02493181825,
618.0018921,0.0004963363172,618.0018921,0.0127107352,618.0018921,0.02734672651,618.0018921,0.0264116209,
616.0130615,0.0004025320814,616.0130615,0.01160253864,616.0130615,0.02765987813,616.0130615,0.02601171285,
613.9862061,0.0002589109645,613.9862061,0.01278745476,613.9862061,0.02760765702,613.9862061,0.02739279531,
611.9951782,0.0007738511194,611.9951782,0.01238697395,611.9951782,0.02856897935,611.9951782,0.02715260535,
610.0030518,0.0004861775378,610.0030518,0.0126198791,610.0030518,0.02913872339,610.0030518,0.02876478434,
608.0097656,0.000344963948,608.0097656,0.01290514506,608.0097656,0.02984167635,608.0097656,0.02893010341,
606.0154419,0.0002014395432,606.0154419,0.01298846025,606.0154419,0.02939530276,606.0154419,0.02957477234,
603.9832153,0.0001853830909,603.9832153,0.01280227769,603.9832153,0.03115265444,603.9832153,0.03082496859,
601.9867554,0.0008073308272,601.9867554,0.01367930323,601.9867554,0.03246740624,601.9867554,0.03211002052,
599.9892578,0.0004197625676,599.9892578,0.01324191689,599.9892578,0.03190397844,599.9892578,0.0325227268,
597.9907227,3.342007039E-005,597.9907227,0.01295978948,597.9907227,0.03261630982,597.9907227,0.03313123807,
595.9910889,0.0005967189209,595.9910889,0.01417476218,595.9910889,0.03536067531,595.9910889,0.03671393916,
593.9904175,0.001056084409,593.9904175,0.01436121296,593.9904175,0.03728446364,593.9904175,0.03851957247,
591.9887085,0.0004998090444,591.9887085,0.01580000482,591.9887085,0.03819052503,591.9887085,0.04069213569,
589.9860229,0.0005007938016,589.9860229,0.01632492803,589.9860229,0.04014094174,589.9860229,0.04328894243,
587.9821777,0.000303955836,587.9821777,0.01685097069,587.9821777,0.04307224229,587.9821777,0.04686810449,
586.0145264,0.0002834661864,586.0145264,0.01741922647,586.0145264,0.04532723129,586.0145264,0.0507902801,
