Run ID	1646208709
Run Date/Time	2022-03-02 08:11:22
Application Name	Labcyte Echo Plate Reformat
Application Version	1.6.4
Protocol Name	2022-02-28-00-echo-protocol.epr
User Name	Lab

[DETAILS]
Source Plate Name	Source Plate Barcode	Source Plate Type	Source Well	Survey Fluid Height	Survey Fluid Volume	Fluid Composition	Fluid Units	Fluid Type	Survey Status
Source[1]	UnknownBarCode	384LDV_DMSO	D20	0.51	2.407	83.409	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D21	0.712	3.337	82.615	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D22	0.662	3.063	81.624	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D23	0	0	0	Percent	DMSO	Data missing for well (4th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	D24	0	0	0	Percent	DMSO	Data missing for well (4th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	E1	0.929	4.333	81.594	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E2	1.072	5.064	83.219	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E3	1.008	4.761	83.262	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E4	1.148	5.43	83.377	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E5	0.934	4.443	84.213	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E6	0.974	4.59	82.97	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E7	0.932	4.455	84.957	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E8	0.974	4.658	86.01	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E9	0.941	4.5	86.589	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E10	1.038	4.962	86.252	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E11	0.776	3.717	86.299	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E12	0.93	4.45	86.401	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E13	1.047	4.997	84.968	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E14	0.921	4.402	85.567	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E15	1.017	4.866	87.613	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E16	0.882	4.208	84.559	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E17	1.156	5.52	85.594	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E18	1.079	5.151	85.221	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E19	1.074	5.127	84.819	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E20	0.91	4.299	83.275	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E21	1.138	5.361	82.625	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	E22	1.213	5.708	82.315	Percent	DMSO	
