Run ID,1614698095
Run Date/Time,2021-03-02 15:10:46
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,Protocol 2.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,I13,0.401,2.321,98.627,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I14,1.935,9.658,99.571,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I15,0.926,4.828,98.986,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I16,1.986,9.908,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I17,0.329,2.015,99.653,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I18,1.833,9.045,97.082,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I19,0.369,2.208,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I20,1.898,9.489,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I21,0.403,2.329,98.645,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I22,1.864,9.152,96.143,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I23,0.606,3.258,97.558,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I24,2.319,11.424,98.524,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J1,0.775,4.038,96.943,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J2,1.896,9.371,97.591,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J3,0.854,4.364,95.617,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J4,2.033,10.046,98.091,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J5,0.793,4.14,97.412,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J6,1.953,9.679,98.394,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J7,0.803,4.276,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J8,2.103,10.434,99.148,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J9,0.817,4.303,98.743,Percent,DMSO,
