blank,,bm3-a82f-heme-20in1000-tube-53,,bm3-a82f-heme-20in1000-tube-54,,bm3-a82f-heme-20in1000-tube-55,,bm3-a82f-heme-20in1000-tube-57,,bm3-a82f-heme-20in1000-post-lipidex,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
745.9891968,-0.000885742309,745.9891968,0.04771875963,745.9891968,0.02701371722,745.9891968,0.009165287018,745.9891968,0.006645791233,745.9891968,0.002384783002,
744.9990845,-0.0001088109784,744.9990845,0.04815826192,744.9990845,0.02949375659,744.9990845,0.01198247075,744.9990845,0.008889810182,744.9990845,0.002933472162,
744.0085449,-0.0004337874416,744.0085449,0.05144520476,744.0085449,0.02646636777,744.0085449,0.01047332212,744.0085449,0.008610283956,744.0085449,0.00259196735,
743.0176392,0.0006403211737,743.0176392,0.04738907889,743.0176392,0.02579305321,743.0176392,0.01252459176,743.0176392,0.00787957944,743.0176392,0.003184515983,
741.9910278,0.000394474162,741.9910278,0.04741436988,741.9910278,0.02885219455,741.9910278,0.0126104448,741.9910278,0.008991650306,741.9910278,0.004093710799,
740.9993896,-8.769280976E-005,740.9993896,0.04661061987,740.9993896,0.02689343505,740.9993896,0.01190006733,740.9993896,0.00640017353,740.9993896,0.00315859681,
740.0074463,0.0006334254285,740.0074463,0.04994884133,740.0074463,0.02848925442,740.0074463,0.01356244367,740.0074463,0.009341427125,740.0074463,0.004094547126,
739.0151367,0.000403283484,739.0151367,0.04968096316,739.0151367,0.02969108894,739.0151367,0.01086867042,739.0151367,0.008376431651,739.0151367,0.004003071226,
737.9871216,-2.893954843E-005,737.9871216,0.04821743816,737.9871216,0.02899875678,737.9871216,0.008945801295,737.9871216,0.00899159722,737.9871216,0.003367193975,
736.9940796,0.0001645882876,736.9940796,0.05056564882,736.9940796,0.0275322739,736.9940796,0.01342276111,736.9940796,0.01048713829,736.9940796,0.004252930637,
736.0006714,4.400837497E-005,736.0006714,0.04904213548,736.0006714,0.02919746935,736.0006714,0.0136099048,736.0006714,0.01070745755,736.0006714,0.003259961726,
735.007019,2.309089723E-005,735.007019,0.04724743217,735.007019,0.02937455848,735.007019,0.01136241946,735.007019,0.008971697651,735.007019,0.002621602966,
734.0129395,0.0003077378497,734.0129395,0.04819042236,734.0129395,0.02857876569,734.0129395,0.01333319675,734.0129395,0.009589798748,734.0129395,0.003787823021,
732.9830322,-0.0001375880092,732.9830322,0.04878683388,732.9830322,0.02984752692,732.9830322,0.01184848323,732.9830322,0.008693545125,732.9830322,0.00299307867,
731.9882202,0.0003215709876,731.9882202,0.04783376679,731.9882202,0.02996053174,731.9882202,0.01369896531,731.9882202,0.008969213814,731.9882202,0.004126585089,
