,SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
202,src racks 0..4,['S1284'],K21,dest racks 0..4 0,O6,605.0
203,src racks 0..4,['S1284'],K21,dest racks 0..4 0,O7,2000.0
204,src racks 0..4,['S1040'],K3,dest racks 0..4 0,C5,20.0
205,src racks 0..4,['S1040'],K3,dest racks 0..4 0,C6,605.0
206,src racks 0..4,['S1040'],K3,dest racks 0..4 0,C7,2000.0
207,src racks 0..4,['S1119'],K5,dest racks 0..4 0,D13,20.0
208,src racks 0..4,['S1119'],K5,dest racks 0..4 0,D14,605.0
209,src racks 0..4,['S1119'],K5,dest racks 0..4 0,D15,2000.0
210,src racks 0..4,['S1168'],K7,dest racks 0..4 0,E21,20.0
211,src racks 0..4,['S1168'],K7,dest racks 0..4 0,E22,605.0
212,src racks 0..4,['S1168'],K7,dest racks 0..4 0,E23,2000.0
213,src racks 0..4,['S1196'],K9,dest racks 0..4 0,G5,20.0
214,src racks 0..4,['S1196'],K9,dest racks 0..4 0,G6,605.0
215,src racks 0..4,['S1196'],K9,dest racks 0..4 0,G7,2000.0
216,src racks 0..4,['S1025'],M1,dest racks 0..4 0,B1,20.0
217,src racks 0..4,['S1025'],M1,dest racks 0..4 0,B2,605.0
218,src racks 0..4,['S1025'],M1,dest racks 0..4 0,B3,2000.0
219,src racks 0..4,['S1209'],M11,dest racks 0..4 0,H17,20.0
220,src racks 0..4,['S1209'],M11,dest racks 0..4 0,H18,605.0
221,src racks 0..4,['S1209'],M11,dest racks 0..4 0,H19,2000.0
222,src racks 0..4,['S1223'],M13,dest racks 0..4 0,J1,20.0
223,src racks 0..4,['S1223'],M13,dest racks 0..4 0,J2,605.0
224,src racks 0..4,['S1223'],M13,dest racks 0..4 0,J3,2000.0
225,src racks 0..4,['S1235'],M15,dest racks 0..4 0,K9,20.0
226,src racks 0..4,['S1235'],M15,dest racks 0..4 0,K10,605.0
227,src racks 0..4,['S1235'],M15,dest racks 0..4 0,K11,2000.0
228,src racks 0..4,['S1255'],M17,dest racks 0..4 0,L17,20.0
229,src racks 0..4,['S1255'],M17,dest racks 0..4 0,L18,605.0
230,src racks 0..4,['S1255'],M17,dest racks 0..4 0,L19,2000.0
231,src racks 0..4,['S1271'],M19,dest racks 0..4 0,N1,20.0
