SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
2022-03-07-00.2,['S1148'],C8,ctrl,F7,167.5
2022-03-07-00.2,['S1148'],C8,ctrl,F8,667.5
2022-03-07-00.2,['S1148'],C8,ctrl,F9,1500.0
2022-03-07-00.2,['S1189'],C9,ctrl,G23,167.5
2022-03-07-00.2,['S1189'],C9,ctrl,G24,667.5
2022-03-07-00.2,['S1189'],C9,ctrl,H1,1500.0
2022-03-07-00.2,['S1013'],E1,ctrl,A12,167.5
2022-03-07-00.2,['S1013'],E1,ctrl,A13,667.5
2022-03-07-00.2,['S1013'],E1,ctrl,A14,1500.0
2022-03-07-00.2,['S1190'],E10,ctrl,H4,167.5
2022-03-07-00.2,['S1190'],E10,ctrl,H5,667.5
2022-03-07-00.2,['S1190'],E10,ctrl,H6,1500.0
2022-03-07-00.2,['S1202'],E11,ctrl,I20,167.5
2022-03-07-00.2,['S1202'],E11,ctrl,I21,667.5
2022-03-07-00.2,['S1202'],E11,ctrl,I22,1500.0
2022-03-07-00.2,['S1202'],E12,ctrl,I20,167.5
2022-03-07-00.2,['S1202'],E12,ctrl,I21,667.5
2022-03-07-00.2,['S1202'],E12,ctrl,I22,1500.0
2022-03-07-00.2,['S1214'],E13,ctrl,K12,167.5
2022-03-07-00.2,['S1214'],E13,ctrl,K13,667.5
2022-03-07-00.2,['S1214'],E13,ctrl,K14,1500.0
2022-03-07-00.2,['S1214'],E14,ctrl,K12,167.5
2022-03-07-00.2,['S1214'],E14,ctrl,K13,667.5
2022-03-07-00.2,['S1214'],E14,ctrl,K14,1500.0
2022-03-07-00.2,['S1228'],E15,ctrl,M4,167.5
2022-03-07-00.2,['S1228'],E15,ctrl,M5,667.5
2022-03-07-00.2,['S1228'],E15,ctrl,M6,1500.0
2022-03-07-00.2,['S1228'],E16,ctrl,M4,167.5
2022-03-07-00.2,['S1228'],E16,ctrl,M5,667.5
2022-03-07-00.2,['S1228'],E16,ctrl,M6,1500.0
2022-03-07-00.2,['S1247'],E17,ctrl,N20,167.5
2022-03-07-00.2,['S1247'],E17,ctrl,N21,667.5
2022-03-07-00.2,['S1247'],E17,ctrl,N22,1500.0
2022-03-07-00.2,['S1247'],E18,ctrl,N20,167.5
2022-03-07-00.2,['S1247'],E18,ctrl,N21,667.5
2022-03-07-00.2,['S1247'],E18,ctrl,N22,1500.0
2022-03-07-00.2,['S1259'],E19,ctrl,P12,167.5
2022-03-07-00.2,['S1259'],E19,ctrl,P13,667.5
2022-03-07-00.2,['S1259'],E19,ctrl,P14,1500.0
2022-03-07-00.2,['S1013'],E2,ctrl,A12,167.5
2022-03-07-00.2,['S1013'],E2,ctrl,A13,667.5
2022-03-07-00.2,['S1013'],E2,ctrl,A14,1500.0
2022-03-07-00.2,['S1259'],E20,ctrl,P12,167.5
2022-03-07-00.2,['S1259'],E20,ctrl,P13,667.5
2022-03-07-00.2,['S1259'],E20,ctrl,P14,1500.0
2022-03-07-00.2,['S1033'],E3,ctrl,C4,167.5
2022-03-07-00.2,['S1033'],E3,ctrl,C5,667.5
2022-03-07-00.2,['S1033'],E3,ctrl,C6,1500.0
2022-03-07-00.2,['S1033'],E4,ctrl,C4,167.5
2022-03-07-00.2,['S1033'],E4,ctrl,C5,667.5
2022-03-07-00.2,['S1033'],E4,ctrl,C6,1500.0
2022-03-07-00.2,['S1064'],E5,ctrl,D20,167.5
2022-03-07-00.2,['S1064'],E5,ctrl,D21,667.5
2022-03-07-00.2,['S1064'],E5,ctrl,D22,1500.0
2022-03-07-00.2,['S1064'],E6,ctrl,D20,167.5
2022-03-07-00.2,['S1064'],E6,ctrl,D21,667.5
2022-03-07-00.2,['S1064'],E6,ctrl,D22,1500.0
2022-03-07-00.2,['S1150'],E7,ctrl,F12,167.5
2022-03-07-00.2,['S1150'],E7,ctrl,F13,667.5
2022-03-07-00.2,['S1150'],E7,ctrl,F14,1500.0
2022-03-07-00.2,['S1150'],E8,ctrl,F12,167.5
2022-03-07-00.2,['S1150'],E8,ctrl,F13,667.5
2022-03-07-00.2,['S1150'],E8,ctrl,F14,1500.0
2022-03-07-00.2,['S1190'],E9,ctrl,H4,167.5
2022-03-07-00.2,['S1190'],E9,ctrl,H5,667.5
2022-03-07-00.2,['S1190'],E9,ctrl,H6,1500.0
2022-03-07-00.2,['S1014'],G1,ctrl,A17,167.5
2022-03-07-00.2,['S1014'],G1,ctrl,A18,667.5
2022-03-07-00.2,['S1014'],G1,ctrl,A19,1500.0
2022-03-07-00.2,['S1191'],G10,ctrl,H9,167.5
2022-03-07-00.2,['S1191'],G10,ctrl,H10,667.5
2022-03-07-00.2,['S1191'],G10,ctrl,H11,1500.0
2022-03-07-00.2,['S1204'],G11,ctrl,J1,167.5
2022-03-07-00.2,['S1204'],G11,ctrl,J2,667.5
2022-03-07-00.2,['S1204'],G11,ctrl,J3,1500.0
2022-03-07-00.2,['S1204'],G12,ctrl,J1,167.5
2022-03-07-00.2,['S1204'],G12,ctrl,J2,667.5
2022-03-07-00.2,['S1204'],G12,ctrl,J3,1500.0
2022-03-07-00.2,['S1218'],G13,ctrl,K17,167.5
2022-03-07-00.2,['S1218'],G13,ctrl,K18,667.5
2022-03-07-00.2,['S1218'],G13,ctrl,K19,1500.0
2022-03-07-00.2,['S1218'],G14,ctrl,K17,167.5
2022-03-07-00.2,['S1218'],G14,ctrl,K18,667.5
2022-03-07-00.2,['S1218'],G14,ctrl,K19,1500.0
2022-03-07-00.2,['S1229'],G15,ctrl,M9,167.5
2022-03-07-00.2,['S1229'],G15,ctrl,M10,667.5
2022-03-07-00.2,['S1229'],G15,ctrl,M11,1500.0
2022-03-07-00.2,['S1229'],G16,ctrl,M9,167.5
2022-03-07-00.2,['S1229'],G16,ctrl,M10,667.5
2022-03-07-00.2,['S1229'],G16,ctrl,M11,1500.0
2022-03-07-00.2,['S1250'],G17,ctrl,O1,167.5
2022-03-07-00.2,['S1250'],G17,ctrl,O2,667.5
2022-03-07-00.2,['S1250'],G17,ctrl,O3,1500.0
2022-03-07-00.2,['S1250'],G18,ctrl,O1,167.5
2022-03-07-00.2,['S1250'],G18,ctrl,O2,667.5
2022-03-07-00.2,['S1250'],G18,ctrl,O3,1500.0
2022-03-07-00.2,['S1260'],G19,ctrl,P17,167.5
2022-03-07-00.2,['S1260'],G19,ctrl,P18,667.5
2022-03-07-00.2,['S1260'],G19,ctrl,P19,1500.0
2022-03-07-00.2,['S1014'],G2,ctrl,A17,167.5
